Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	Averagealpha	Stdalpha	Maxalpha	Minalpha	Time
35	1030.4609	10.943523	1044.9762	1016.10706	987.067	4.254199	991.5213	977.37006	1000.0	1000.0	139999	90.10096	22.892601	109.11173	-22.78718	90.10091	22.892859	110.760544	-20.667467	-89.795616	0.55685055	0.29980704	0.021719677	0.39989907	0.2452611	0.0067369766	1.433823e-06	0.0067401384	0.006732953	4941.863268375397
36	1031.5194	26.062893	1076.1787	1010.82776	1045.6555	23.16116	1101.1212	1023.0791	1000.0	1000.0	143999	90.5472	22.558113	106.98484	-21.321808	90.5472	22.557978	107.57891	-19.019001	-90.24429	0.56360704	0.30629352	0.026207969	0.46340334	0.23922692	0.006737014	1.3679436e-06	0.006740161	0.006732972	5083.744251966476
37	1077.5271	15.18099	1102.128	1060.6718	1139.0748	8.467882	1147.8245	1119.4496	1000.0	1000.0	147999	90.97723	22.37561	108.314995	-21.55335	90.97729	22.375673	110.55318	-18.259619	-90.68526	0.5266141	0.30084938	0.026493602	0.4504235	0.24119611	0.0067370017	1.403594e-06	0.0067401286	0.0067330073	5225.908629655838
38	1079.8169	8.692718	1088.41	1067.7927	991.9977	4.5119777	999.8677	986.6964	1000.0	1000.0	151999	91.4901	22.097557	110.31073	-19.641502	91.49011	22.097376	108.764336	-20.07016	-91.199135	0.54657704	0.30760792	0.0413032	0.66067106	0.25095567	0.006737055	1.3356445e-06	0.0067401384	0.0067329467	5368.594778776169
39	1134.8235	31.289825	1166.637	1100.8927	1048.1871	34.03517	1103.3584	991.21674	1000.0	1000.0	155999	91.86916	22.006592	109.38965	-18.875694	91.86915	22.006536	110.20331	-20.276634	-91.568954	0.52994627	0.30209985	0.025334716	0.48206443	0.25177988	0.0067370776	1.3053535e-06	0.0067401254	0.0067330105	5508.5877277851105
40	1135.8898	24.354368	1157.4355	1095.0352	1178.9983	42.134445	1209.2489	1058.3013	1000.0	1000.0	159999	92.41623	21.874666	110.86916	-19.375969	92.41624	21.87473	110.703064	-19.006937	-92.13108	0.5628346	0.31297505	0.03179247	0.5014908	0.2528618	0.0067370757	1.3071394e-06	0.0067401673	0.006732972	5654.2033450603485
41	1220.5875	17.750332	1238.9202	1192.8456	1122.825	39.664734	1171.4202	1039.3782	1000.0	1000.0	163999	93.1398	21.803102	113.00143	-15.663199	93.13975	21.80327	113.10105	-15.787176	-92.850204	0.5529575	0.3128378	0.032427117	0.5778185	0.26126286	0.006737029	1.3576024e-06	0.006740116	0.0067329495	5797.142240762711
42	1224.3656	22.581629	1261.4384	1201.1279	1055.1846	32.0076	1107.1421	1006.65515	1000.0	1000.0	167999	94.28321	21.785978	113.875595	-17.598452	94.28323	21.785904	113.44577	-17.265461	-94.00534	0.574244	0.33740583	0.029490966	0.46409124	0.2701321	0.006737175	1.2068442e-06	0.00674019	0.006733187	5937.85014128685
43	1240.9377	53.73132	1316.6853	1190.0947	1274.532	6.964678	1281.7092	1260.9208	1000.0	1000.0	171999	96.0379	21.763376	113.2841	-21.892538	96.03789	21.763365	112.97413	-20.343807	-95.77683	0.62031496	0.38935944	0.06880589	0.8327267	0.28005728	0.0067370012	1.4303731e-06	0.006740248	0.006731328	6080.0379276275635
44	1314.9749	10.677963	1327.4712	1298.4991	1447.3455	13.209554	1466.1865	1424.4437	1000.0	1000.0	175999	98.60633	22.193066	116.75874	-17.005993	98.6063	22.192892	116.73369	-17.382092	-98.34967	0.64742714	0.41260818	0.045270577	0.6975176	0.33063024	0.0067370404	1.3870249e-06	0.0067406786	0.0067317267	6221.38688325882
