Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	$\alpha$	Stdalpha	Maxalpha	Minalpha	Time
38	512.37964	126.06007	724.2439	411.69876	355.26212	58.67584	451.9763	280.6567	1000.0	1000.0	151999	61.785805	61.785675	-60.96661	11.920119	1.4393888	0.07142564	1.7095661	1.1991774	0.86405325	0.03799656	0.9900081	0.79774624	3668.8967418670654
39	430.2898	212.02063	661.71466	166.52002	377.0935	75.76089	575.83954	284.5628	1000.0	1000.0	155999	63.02248	63.02244	-62.223976	11.956731	1.442163	0.07470534	1.6972349	1.2036667	0.8844171	0.038703192	0.97958016	0.7924216	3766.321331501007
40	626.55194	117.92611	749.0632	479.97592	478.2396	200.79233	1027.1698	244.90541	1000.0	1000.0	159999	64.22393	64.22386	-63.370483	12.2185135	1.4391438	0.077854596	1.7504882	1.2167016	0.9015098	0.03974835	1.0354961	0.83185405	3863.9773423671722
41	806.54663	299.63657	1319.8289	566.125	262.179	95.5025	394.70163	142.10834	1000.0	1000.0	163999	65.11127	65.11125	-64.23544	12.78736	1.4401509	0.07432407	1.7356265	1.2048292	0.96236265	0.04515428	1.0835059	0.88109994	3960.696577310562
42	391.11206	106.44242	473.1983	208.62775	472.1293	88.90542	641.325	360.23367	1000.0	1000.0	167999	66.91553	66.9157	-66.10684	13.243072	1.4385204	0.07467986	1.7230045	1.1908495	0.90776354	0.046667326	1.0544577	0.77843094	4057.9774882793427
43	489.84457	139.01575	601.16034	253.9723	560.2849	78.226746	698.9661	475.352	1000.0	1000.0	171999	67.96754	67.96824	-67.17201	13.086269	1.4386511	0.070992574	1.724986	1.2294966	0.88199145	0.03130128	0.97474	0.80139095	4154.342284679413
44	545.903	78.465324	656.66113	436.7514	292.00674	11.938897	314.7807	278.1953	1000.0	1000.0	175999	68.07555	68.07543	-67.27097	12.6408615	1.4406734	0.07321838	1.7441583	1.2281369	0.87943345	0.033895902	0.96372384	0.7832543	4250.851435422897
45	696.8704	165.60359	875.45386	469.0272	-116.042175	147.7032	48.55302	-405.93204	1000.0	1000.0	179999	68.74716	68.74751	-67.85103	13.359183	1.4441789	0.079309516	1.7714193	1.1948706	0.9987395	0.07503748	1.1620907	0.82826316	4348.6900680065155
46	634.7257	132.90094	797.08234	468.54135	749.3831	217.72874	1150.5753	477.54486	1000.0	1000.0	183999	71.31909	71.31901	-70.51575	13.449031	1.4389999	0.072837785	1.6982747	1.1937058	0.96540684	0.039259557	1.0698849	0.876091	4445.683497905731
47	631.9828	109.08133	760.3795	491.1153	612.6521	185.6688	1109.9314	459.26828	1000.0	1000.0	187999	73.17891	73.17861	-72.36153	14.294646	1.4414705	0.070377775	1.7137082	1.1475292	0.9732997	0.044484768	1.0960296	0.8732211	4542.924304008484
48	508.86053	63.998253	592.8202	422.02063	370.65454	38.937687	464.93958	337.77664	1000.0	1000.0	191999	75.84485	75.84502	-75.05853	14.705024	1.4371316	0.07345563	1.6724701	1.1969194	0.94760764	0.047494657	1.0702848	0.8622089	4640.600255250931
49	729.88696	140.50005	956.6993	572.2315	499.6582	290.02414	977.5851	184.87984	1000.0	1000.0	195999	77.49728	77.49747	-76.57376	14.946957	1.4472859	0.07697072	1.7427621	1.1784152	1.080537	0.083821274	1.3318598	0.9122626	4737.1532418727875
50	397.6672	92.65401	479.32538	240.54343	497.68378	3.1732757	504.77768	491.6649	1000.0	1000.0	199999	81.927055	81.9268	-81.08164	16.179226	1.4360727	0.08038876	1.7167853	1.1991792	1.1986946	0.09497516	1.3869951	0.99411744	4832.740653514862
51	558.43915	165.37294	827.0116	380.59558	105.261696	7.7669086	119.52884	86.43072	1000.0	1000.0	203999	86.21435	86.21495	-85.45359	15.830061	1.4392673	0.08059824	1.7546083	1.1428546	1.0323048	0.062219974	1.1632731	0.891621	4929.822598218918
52	496.38165	64.23692	574.8514	404.53986	545.62616	60.537582	633.3606	423.06412	1000.0	1000.0	207999	87.72094	87.72096	-86.918816	15.228576	1.4397656	0.08702754	1.8137989	1.1901685	1.0346428	0.070737146	1.2245188	0.90175545	5028.331513166428
53	598.4802	64.61123	709.4547	549.5712	565.8177	128.238	834.0717	432.08728	1000.0	1000.0	211999	88.4429	88.44317	-87.70487	15.891143	1.4403876	0.08193266	1.71844	1.1830248	0.96481955	0.07082183	1.1405563	0.8397702	5125.214061498642
54	570.26434	92.89448	678.26184	424.1285	718.11414	207.96013	991.75494	358.1257	1000.0	1000.0	215999	88.64438	88.64472	-87.85259	16.390987	1.4406589	0.07624606	1.6802393	1.1901255	1.0220245	0.07877901	1.1890614	0.88148355	5222.088043928146
55	692.7085	150.20142	856.65576	542.3453	423.13177	41.587715	505.5249	382.34283	1000.0	1000.0	219999	88.98571	88.98645	-88.14908	15.756256	1.440304	0.08195057	1.7728598	1.1540754	1.0376755	0.07705823	1.2065676	0.9036097	5320.010446310043
56	719.95557	441.03452	1066.0858	-35.535275	711.6533	196.32068	1022.9898	438.88486	1000.0	1000.0	223999	90.94793	90.94763	-90.13682	16.30848	1.4378244	0.0710949	1.677984	1.1801591	1.1238294	0.057236042	1.2729683	0.99175805	5417.523823738098
57	646.91864	113.2699	814.2967	518.38354	460.87225	11.086858	479.01483	447.0193	1000.0	1000.0	227999	91.58202	91.58181	-90.83497	15.356449	1.4364656	0.07465635	1.7065386	1.1714754	0.93681216	0.046995915	1.0559167	0.8178697	5514.7949986457825
58	589.73926	187.61967	739.8208	272.88013	521.3424	61.198326	694.7	473.51736	1000.0	1000.0	231999	89.49928	89.49968	-88.79283	13.691067	1.4398056	0.0744032	1.7091761	1.1613911	0.81985813	0.038920034	0.9270754	0.7336185	5612.1989133358
