Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
49	74.2274	234.64427	336.42682	-303.38382	-22.101313	482.7861	415.89764	-1091.0424	1000.0	1000.0	195999	68.468956	20.928501	199.85866	-12.670639	-70.04297	14.130557	2246.2604367733
50	191.3679	93.631516	334.90375	81.52138	96.9893	378.22397	489.05377	-823.9121	1000.0	1000.0	199999	67.81556	20.610397	197.2242	-17.961002	-69.38333	13.758722	2292.4962289333344
51	112.84673	32.73938	161.06915	68.69866	-135.75038	372.19598	336.45364	-785.5951	1000.0	1000.0	203999	67.71868	20.74997	190.54568	-20.92831	-69.2953	13.777979	2338.1562905311584
52	-344.24036	254.06184	-99.10206	-747.85455	-91.88799	377.0918	281.38077	-867.4623	1000.0	1000.0	207999	68.41161	21.255592	191.13536	-10.719335	-70.011894	14.213069	2384.261554956436
53	-113.03855	200.64499	65.95138	-450.38498	-11.478915	409.136	494.51782	-660.89233	1000.0	1000.0	211999	68.91235	21.43283	198.2713	-20.403616	-70.455025	14.166519	2430.18057179451
54	166.77692	73.05108	258.372	84.050125	-128.93518	269.3084	334.65088	-596.19806	1000.0	1000.0	215999	68.9979	21.24772	201.21538	-10.408184	-70.54514	13.8190155	2476.5097806453705
55	13.242016	103.889755	173.45482	-112.05418	-38.88564	258.8732	244.75754	-471.8429	1000.0	1000.0	219999	69.42183	21.146423	194.71947	-16.623316	-70.96648	13.531613	2522.1838524341583
56	1.5923195	176.31874	266.63336	-209.4978	3.714569	260.27225	337.4568	-533.90906	1000.0	1000.0	223999	69.99442	21.48446	186.9406	-4.1022015	-71.5369	13.715213	2568.2185418605804
57	166.3404	86.20953	270.75858	47.147217	-69.972374	243.66106	321.83426	-508.14645	1000.0	1000.0	227999	70.51005	21.340134	194.99158	-20.258854	-72.04087	13.577915	2614.553446531296
58	79.60205	161.91751	237.85011	-141.60356	-47.34664	228.26819	255.15065	-508.8481	1000.0	1000.0	231999	70.983406	21.445532	198.57973	-14.88536	-72.49366	13.302996	2660.494852781296
59	-151.46707	346.78223	351.5292	-614.87695	26.699457	245.31456	238.14034	-556.0311	1000.0	1000.0	235999	71.064735	21.20799	196.97327	-22.275162	-72.55182	13.201668	2706.458099603653
