Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	Averagealpha	Stdalpha	Maxalpha	Minalpha	Time
50	9562.233	72.76904	9651.505	9450.417	9550.21	95.722755	9747.624	9407.534	1000.0	1000.0	199999	780.6573	154.5278	962.1184	-36.373425	780.65753	154.52711	962.67596	-34.77377	-780.0274	35.92081	2.4633446	0.052922282	2.6345909	2.2332413	0.0	0.0	0.0	0.0	4847.0048587322235
51	9710.404	145.88083	9926.757	9559.676	10059.635	97.19161	10151.645	9867.758	1000.0	1000.0	203999	789.2555	154.80545	976.3323	-33.70053	789.2559	154.80556	975.0822	-38.387882	-788.62225	37.017048	2.4652789	0.05133583	2.664398	2.2935123	0.0	0.0	0.0	0.0	4941.087690830231
52	9703.405	62.377678	9807.847	9642.551	10056.828	78.656525	10178.085	9905.546	1000.0	1000.0	207999	797.08	155.64299	981.9187	-5.064502	797.08026	155.64288	982.8414	-10.89548	-796.4368	36.2605	2.4760678	0.0502994	2.6553075	2.293159	0.0	0.0	0.0	0.0	5033.243380308151
53	9695.192	77.06194	9773.273	9606.478	9477.432	161.54128	9713.444	9168.143	1000.0	1000.0	211999	804.97327	155.17386	986.575	-7.845933	804.9732	155.17453	986.38983	-8.764605	-804.2993	36.513283	2.489421	0.050125685	2.6645725	2.3080826	0.0	0.0	0.0	0.0	5130.996407985687
54	9707.8955	184.53886	9884.582	9398.437	9795.672	83.85467	9914.326	9672.162	1000.0	1000.0	215999	813.0243	154.55258	994.3503	-31.48636	813.0242	154.55298	993.76294	-20.176613	-812.3671	36.959156	2.4937553	0.051154472	2.6678474	2.325108	0.0	0.0	0.0	0.0	5222.745280742645
55	9825.237	161.76459	9995.961	9618.272	10039.873	150.78883	10243.166	9789.775	1000.0	1000.0	219999	820.1289	154.75182	998.3602	-24.250898	820.1287	154.75128	998.6186	-21.14002	-819.41986	36.54947	2.491932	0.049874254	2.669142	2.3176537	0.0	0.0	0.0	0.0	5306.891574621201
56	9958.592	118.5774	10110.77	9786.962	10270.6	139.5031	10438.86	9927.387	1000.0	1000.0	223999	826.3643	155.31921	1003.92926	-13.664461	826.36426	155.32043	1004.62177	-13.579185	-825.64575	36.654587	2.501385	0.050587874	2.7019992	2.2987597	0.0	0.0	0.0	0.0	5393.143975019455
57	9833.38	76.985596	9935.718	9742.555	10182.5625	107.90111	10382.594	10018.279	1000.0	1000.0	227999	833.13696	155.6431	1018.09	7.3712316	833.1369	155.64389	1016.5437	-7.629845	-832.4035	36.515617	2.5052288	0.04931209	2.6722329	2.3274887	0.0	0.0	0.0	0.0	5473.199981927872
58	10071.101	100.02055	10205.12	9923.805	10083.595	142.2489	10323.981	9829.647	1000.0	1000.0	231999	839.8344	154.784	1023.9074	9.944827	839.8341	154.7849	1023.8522	4.2233787	-839.108	36.524372	2.5028028	0.04945817	2.6876807	2.3429673	0.0	0.0	0.0	0.0	5556.285133600235
59	9933.074	58.562954	9996.792	9874.594	10123.889	89.20643	10249.932	9970.977	1000.0	1000.0	235999	846.3098	153.58223	1031.8037	-7.774594	846.30975	153.58252	1033.8787	-8.781438	-845.55664	37.05837	2.5121672	0.04924607	2.679123	2.3211591	0.0	0.0	0.0	0.0	5647.168920993805
