Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
32	120046.016	57.934055	120128.336	119983.95	120024.46	44.214912	120074.625	119955.47	1000.0	1000.0	127999	10771.945	590.01935	12489.487	7671.413	10771.95	589.9447	12597.447	7232.258	46.19843	6.294562	75.39369	9.23863	-10762.768	2292.573	2722.2422263622284
33	120103.49	22.000427	120129.78	120070.58	120165.586	48.48425	120251.13	120098.95	1000.0	1000.0	131999	10786.896	581.89594	12603.376	7836.1396	10786.897	581.88293	12826.333	7849.5024	46.475826	6.3788786	77.77607	7.8564854	-10778.059	2198.1946	2808.3414328098297
34	120097.86	55.499393	120161.83	120009.6	119988.164	44.526356	120059.375	119917.07	1000.0	1000.0	135999	10799.316	573.33154	12231.777	7386.832	10799.312	573.37067	12037.535	7315.37	46.29917	6.3446884	72.16842	8.051615	-10790.134	2125.802	2895.1561312675476
35	120103.63	84.5971	120196.664	119965.93	120156.75	52.087276	120284.94	120096.836	1000.0	1000.0	139999	10804.734	571.5871	12934.321	5811.611	10804.734	571.5902	12923.338	6493.331	46.497715	6.4218974	77.44088	4.5487404	-10794.342	2285.2207	2980.692373752594
36	120116.39	46.09534	120183.45	120057.484	120058.6	32.437523	120094.414	120003.336	1000.0	1000.0	143999	10816.502	562.1312	12635.786	7565.9517	10816.491	562.2225	13280.161	7512.652	47.268665	6.1584077	77.530914	9.171806	-10805.658	2249.875	3066.42258310318
37	120051.44	64.47648	120142.875	119961.38	120162.71	36.27243	120237.445	120103.336	1000.0	1000.0	147999	10828.139	549.50287	12655.469	6552.7217	10828.144	549.43884	12584.506	6420.625	46.97583	6.0808425	77.2738	7.553608	-10818.886	2176.1396	3152.311509370804
38	120091.3	26.839432	120122.445	120049.03	120197.586	27.256609	120253.91	120158.305	1000.0	1000.0	151999	10838.259	541.6527	11963.454	6223.344	10838.253	541.66644	12084.715	7163.552	47.00236	6.1767907	74.25011	8.14106	-10828.455	1755.8707	3238.4778430461884
39	120114.36	35.16742	120140.95	120053.86	120185.65	25.927383	120242.37	120142.46	1000.0	1000.0	155999	10844.824	536.1182	12731.336	7338.7866	10844.831	536.10547	13379.864	7554.3984	46.95545	6.1961436	75.39107	3.4717674	-10834.197	1906.289	3324.4424679279327
40	120102.44	64.7601	120181.26	120001.74	120154.48	34.307465	120201.32	120093.63	1000.0	1000.0	159999	10850.36	532.428	14509.902	6628.061	10850.367	532.33685	13103.152	7620.2485	46.99029	6.098229	76.64672	6.457184	-10839.402	2108.3745	3410.8028342723846
41	120165.53	24.404818	120198.33	120134.98	120134.766	38.2692	120203.89	120051.55	1000.0	1000.0	163999	10854.031	531.2052	12812.116	7544.2046	10854.031	531.17706	12294.003	7593.965	47.20261	6.145249	69.32586	9.174387	-10843.556	1951.9535	3497.456451892853
42	120084.57	98.028885	120180.46	119956.57	120148.46	40.40354	120215.305	120074.266	1000.0	1000.0	167999	10858.969	526.65594	16271.895	7504.4707	10858.97	526.6342	15046.399	7699.6455	47.246567	6.0379205	73.33726	9.135454	-10848.846	2046.7065	3582.299713611603
43	120069.34	118.82781	120196.305	119932.94	120151.31	29.03032	120187.78	120102.77	1000.0	1000.0	171999	10865.19	518.2343	11654.139	7812.8584	10865.189	518.28906	12052.913	7861.3677	47.369514	5.9570336	96.2215	9.834787	-10854.963	1793.3416	3666.6173770427704
44	120061.6	32.08093	120090.19	120010.56	119931.33	50.85084	120037.26	119871.984	1000.0	1000.0	175999	10872.0	509.286	13415.723	7729.5073	10871.992	509.36148	13419.276	5752.9966	47.52178	5.936843	82.50311	5.1722717	-10861.896	2022.2192	3752.868175983429
45	120077.625	164.11656	120244.06	119827.46	120181.92	35.783833	120236.02	120105.07	1000.0	1000.0	179999	10876.038	505.29434	12866.738	5607.304	10876.049	505.209	11976.887	5680.5845	47.54329	5.993686	73.04334	5.6021175	-10865.574	1683.1307	3838.4004101753235
46	120105.64	91.954124	120227.695	120015.305	120125.125	47.69403	120176.85	120023.69	1000.0	1000.0	183999	10882.538	495.71442	12672.967	7848.6333	10882.537	495.70914	12998.339	7718.3076	47.582794	5.892469	75.37062	5.081293	-10872.662	1762.4529	3925.2168893814087
47	120026.15	65.9002	120128.27	119945.47	120157.14	35.681404	120213.21	120098.92	1000.0	1000.0	187999	10886.249	488.91382	14201.441	7796.6045	10886.244	488.99326	14134.533	7459.0615	47.65287	5.8936253	74.15001	4.1167583	-10876.246	1866.2084	4012.657029390335
48	120100.36	31.784676	120133.79	120054.53	120128.35	36.103687	120175.78	120050.9	1000.0	1000.0	191999	10890.634	485.919	12749.84	5930.2563	10890.634	485.88388	13045.104	6215.977	47.904736	5.9335127	70.65744	10.60919	-10879.231	1739.3081	4097.301092147827
49	120048.34	50.51994	120134.05	120004.47	120156.58	36.391605	120228.78	120092.555	1000.0	1000.0	195999	10889.549	485.9845	12365.257	7775.432	10889.549	485.96323	12011.799	7780.6387	47.789524	5.888756	69.934875	7.6778355	-10879.462	1554.4365	4184.098395824432
