Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
35	925.9604	4.601971	930.9169	920.6449	960.46466	10.095256	978.6974	943.4123	1000.0	1000.0	139999	86.65084	55.620766	264.8881	-33.605286	86.65072	55.621586	267.78458	-33.69713	-0.40520546	1.9032208	13.639623	-10.161832	-87.0863	4.843379	2535.229646921158
36	981.7106	45.50335	1035.0111	910.11346	1111.2705	13.191802	1125.6415	1091.315	1000.0	1000.0	143999	85.2262	55.738937	270.48407	-26.168653	85.22596	55.73949	268.335	-25.884212	-0.3663343	1.8563253	12.566785	-10.17737	-85.65838	4.4479256	2607.6024408340454
37	969.3341	43.30332	1017.6766	915.6614	1097.8395	12.681515	1113.5621	1072.6022	1000.0	1000.0	147999	85.89337	55.072838	270.85422	-37.17874	85.89296	55.072826	269.8689	-31.056637	-0.30373934	1.8175799	11.541981	-12.715878	-86.358315	4.087119	2680.9012916088104
38	1051.737	20.05708	1084.3905	1034.6663	1082.2711	15.751201	1100.0984	1050.7538	1000.0	1000.0	151999	85.54506	55.420486	274.70316	-34.24842	85.54493	55.421165	273.51727	-30.854265	-0.41170493	1.8168572	12.224433	-12.066787	-85.97866	4.244208	2753.050477027893
39	1036.6605	62.70165	1111.0873	945.9452	1175.3138	27.749252	1223.6318	1129.2308	1000.0	1000.0	155999	85.72319	55.384304	275.97562	-32.62497	85.72329	55.38452	275.6652	-37.608868	-0.37189478	1.8156555	15.264872	-16.579233	-86.14361	4.343182	2825.5985803604126
40	1124.3317	34.302128	1148.9161	1065.266	1213.5615	23.934675	1244.3647	1162.4929	1000.0	1000.0	159999	85.99898	55.05524	276.88696	-33.6265	85.99839	55.055473	277.3359	-31.995121	-0.31864724	1.8567994	11.913824	-11.698537	-86.44441	4.2828865	2898.2859988212585
41	1145.6393	22.135752	1171.4418	1114.3298	1185.0962	20.970755	1228.8734	1153.2477	1000.0	1000.0	163999	87.09693	55.438858	276.47366	-25.26951	87.09669	55.438618	275.97736	-29.022587	-0.32435516	1.8368683	11.770662	-9.708645	-87.52122	4.1253095	2970.5013144016266
42	1156.1173	28.702639	1205.5242	1134.7207	1193.5988	35.851433	1282.9216	1160.3397	1000.0	1000.0	167999	87.43107	55.30282	279.6749	-26.557634	87.43108	55.30284	278.38733	-27.20161	-0.3451663	1.786582	12.313069	-12.596501	-87.84366	3.9294043	3042.3777253627777
43	1198.071	44.551334	1249.4113	1141.4023	1274.5264	41.059834	1341.5557	1214.6656	1000.0	1000.0	171999	87.77344	54.876762	276.0336	-25.860783	87.77304	54.876595	272.71768	-28.435394	-0.3915806	1.7472327	12.816486	-11.857417	-88.154724	3.7657812	3115.8258197307587
44	1198.0522	56.321896	1284.0144	1128.8928	1314.2365	14.527084	1353.9977	1299.6981	1000.0	1000.0	175999	87.88433	54.260044	269.8332	-32.662563	87.8842	54.26015	272.34933	-28.96283	-0.38514644	1.7490648	16.310692	-10.301552	-88.25906	3.742356	3188.6912999153137
45	1233.2576	14.202556	1242.6104	1208.7026	1272.7158	53.721867	1371.632	1191.6622	1000.0	1000.0	179999	88.62131	53.90605	270.52417	-38.51338	88.62128	53.906776	271.96298	-38.251907	-0.30968204	1.8170654	13.328045	-10.901386	-89.02845	3.9038348	3261.511725664139
46	1234.834	26.082193	1258.4987	1190.6652	1267.95	18.337534	1297.7927	1234.7916	1000.0	1000.0	183999	89.736	53.646595	268.94788	-33.852764	89.73566	53.646458	269.60983	-29.780445	-0.2602812	1.7956139	12.041966	-12.820335	-90.130264	3.8264854	3334.8513371944427
47	1217.7253	46.8481	1264.1934	1140.1921	1362.1075	26.07587	1415.3145	1328.5695	1000.0	1000.0	187999	91.20869	53.363018	269.90942	-24.960253	91.20875	53.36283	272.50598	-23.229692	-0.24481247	1.7921635	12.29155	-10.128685	-91.63712	3.6505888	3407.8924794197083
48	1260.1464	22.700201	1285.4014	1223.6947	1404.5636	24.944483	1444.1003	1364.8414	1000.0	1000.0	191999	92.83878	52.934456	273.11444	-34.52913	92.83885	52.934124	270.01382	-36.120113	-0.26248696	1.7946833	11.9624405	-12.347332	-93.25837	3.5144114	3480.6794860363007
49	1289.1624	23.674845	1317.2358	1251.9552	1388.5099	20.712004	1432.9601	1357.3154	1000.0	1000.0	195999	93.7309	52.824146	270.987	-32.76957	93.73097	52.824524	273.04758	-34.158863	-0.37562263	1.7341475	12.86069	-10.862856	-94.08278	3.3979619	3553.832709312439
