Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
35	697.4777	191.73325	1224.6334	453.2317	629.6181	119.448845	910.29193	527.54535	141.53572	132.2	139999	205.78978	99.55114	368.16382	-51.915756	205.79037	99.55061	358.67114	-28.969097	-5.5934963	4.4034276	34.955284	-20.900005	-206.862	88.4215	2228.3179614543915
36	683.7898	160.36113	1005.5765	444.32617	731.09607	135.02698	1019.1278	501.8889	137.55173	153.9	143999	207.28883	100.27233	364.89526	-43.350376	207.28873	100.2721	358.47095	-37.13759	-5.5261965	4.3481	34.724953	-21.036657	-208.35031	91.15862	2292.988731622696
37	637.5894	150.26904	1052.7776	420.51736	600.6017	116.8114	715.9967	379.99045	128.87097	114.2	147999	209.04932	100.7161	361.9339	-48.407875	209.04918	100.7158	360.159	-33.4411	-5.403466	4.384541	29.093792	-24.284178	-210.11497	90.544014	2357.107291698456
38	686.7515	185.60797	1154.6947	375.60626	780.13513	139.72841	1049.9912	606.1093	137.03448	159.4	151999	210.86842	101.7556	365.28702	-61.929996	210.8688	101.75516	365.15875	-30.871618	-5.1956196	4.487374	101.22244	-24.727684	-211.95366	91.64939	2421.9904334545135
39	613.24414	149.04414	1045.1566	363.56366	590.10834	178.12445	1033.2865	391.84006	124.4375	114.4	155999	212.54668	102.57353	371.07578	-55.766167	212.54617	102.57581	366.02808	-21.742105	-5.22703	4.4537697	40.059746	-21.64684	-213.58641	93.80366	2486.060533761978
40	618.37317	160.69983	922.1963	351.8681	733.9592	129.50409	992.7539	574.66205	125.25	143.9	159999	212.99937	103.399284	372.16986	-32.379444	212.99986	103.40072	371.47684	-25.748764	-5.1211185	4.450892	55.6867	-21.83971	-214.00279	94.147156	2550.511578798294
41	701.138	167.49222	1052.8829	427.84842	587.65393	84.89349	736.7452	496.4843	141.10345	113.2	163999	213.5572	103.46412	375.6071	-65.56747	213.55614	103.46425	373.213	-47.759075	-5.139404	4.458867	60.092396	-22.390642	-214.52798	94.886284	2614.7426302433014
42	715.727	177.16908	1137.4628	462.87064	636.7456	216.94911	986.6445	371.1064	144.81482	129.3	167999	214.6529	103.86506	376.89874	-102.91617	214.6525	103.86552	370.98764	-72.1694	-5.090041	4.4695845	109.28387	-21.19444	-215.65405	95.995155	2679.310569047928
43	671.9915	140.48131	996.1766	473.8731	676.6261	76.75467	779.1915	538.0266	134.4	129.8	171999	215.14323	104.02002	373.4117	-89.68169	215.14359	104.02038	368.70947	-39.886547	-5.185513	4.4744143	55.750885	-20.713924	-216.11583	93.47355	2743.6513521671295
44	689.8134	120.69656	932.32776	421.92294	691.86774	192.80914	1110.8038	504.3383	135.6	141.6	175999	215.67345	104.33709	384.16177	-114.40901	215.6738	104.33735	381.04684	-111.528015	-5.1977324	4.5031753	36.91188	-21.638557	-216.61678	96.594284	2808.510265827179
