Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
59	38241.816	7528.9814	45874.117	30710.957	31606.338	562.35394	33076.637	31203.352	1000.0	1000.0	235999	7674.801	1807.711	11921.474	5560.0586	7674.793	1807.7389	11956.261	1953.0433	-7682.181	6507.544	3492.1918427944183
60	34531.26	6384.988	45589.36	30721.045	32056.75	1716.2816	37135.4	31191.52	1000.0	1000.0	239999	7723.007	1832.6615	11987.075	5346.1475	7723.0073	1832.6338	11977.165	5347.805	-7726.5913	6901.5664	3551.894478559494
61	38279.086	7403.07	46031.434	30860.662	32529.957	2775.5044	40659.133	31157.621	1000.0	1000.0	243999	7757.7573	1856.2057	12113.684	5360.223	7757.753	1856.1649	12052.599	5622.8447	-7764.159	6753.2275	3611.7298538684845
62	30764.822	79.35659	30885.648	30669.537	32225.182	2176.9238	38641.96	31205.41	1000.0	1000.0	247999	7786.461	1878.7449	12196.888	5034.465	7786.466	1878.7382	12147.38	4535.603	-7791.153	7395.058	3672.236672639847
63	34446.54	6460.9023	45636.75	30628.094	31365.531	252.37697	32073.957	31134.371	1000.0	1000.0	251999	7803.7017	1895.633	12294.475	4404.3647	7803.6934	1895.6179	12241.738	4517.902	-7810.735	7046.9404	3731.4823813438416
64	43237.74	7652.6553	51169.613	30584.713	31267.63	108.88203	31487.578	31110.572	1000.0	1000.0	255999	7846.9385	1919.7603	12821.195	5556.117	7846.9395	1919.7341	12298.037	5799.7827	-7856.2056	7230.73	3790.777674674988
65	30833.826	155.57568	31060.197	30652.572	31560.63	566.4789	33133.76	31178.19	1000.0	1000.0	259999	7876.9272	1940.2507	12356.469	5538.8945	7876.913	1940.2887	12356.702	5124.2935	-7883.274	7314.493	3850.975432872772
66	30863.693	134.26715	31073.281	30698.87	32155.973	2533.6733	39751.18	31196.49	1000.0	1000.0	263999	7883.782	1953.3834	12492.291	5356.3843	7883.7856	1953.3704	12470.628	5529.385	-7890.7373	7336.547	3911.292046546936
67	38308.16	7518.9185	45894.227	30735.05	31290.512	74.83019	31486.613	31176.643	1000.0	1000.0	267999	7902.539	1972.126	12518.684	5332.39	7902.539	1972.1315	12519.227	5679.031	-7919.904	7640.632	3971.1984581947327
68	38366.035	7568.062	45998.547	30647.217	31797.082	773.08453	33674.227	31149.377	1000.0	1000.0	271999	7944.427	1997.0977	12594.084	4627.284	7944.4346	1997.0784	12558.198	5852.419	-7948.96	7707.0244	4030.8672127723694
