Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	$\alpha$	Stdalpha	Maxalpha	Minalpha	Time
33	864.1089	29.911325	895.4028	814.774	782.2771	83.36288	920.75604	635.04156	1000.0	1000.0	131999	158.69852	158.69849	-158.45456	13.577459	0.8983323	0.14692084	1.721317	0.5816793	0.99746865	0.0691577	1.2101777	0.85140663	3394.6461050510406
34	655.955	87.41892	748.10535	540.6253	746.65283	20.491915	799.2344	723.48804	1000.0	1000.0	135999	151.08214	151.08212	-150.88881	9.065958	0.89076865	0.13560945	1.4007685	0.574467	0.8802952	0.0959359	1.0640194	0.6693156	3499.1782932281494
35	824.3923	76.803085	897.4031	707.2995	914.69727	13.758964	944.67645	895.2844	1000.0	1000.0	139999	143.31332	143.31328	-143.17581	5.7991924	0.8182019	0.11197299	1.4263732	0.5640496	0.63890916	0.05425658	0.772829	0.53904974	3603.6404452323914
36	948.2212	25.990961	981.6129	910.4253	929.86914	17.439854	963.0216	908.07715	1000.0	1000.0	143999	134.81921	134.81921	-134.66953	4.129878	0.6360206	0.092553936	1.0628316	0.4009357	0.6431038	0.039815526	0.7487808	0.5640314	3708.842643260956
37	962.21454	14.388703	979.6297	940.6984	973.7674	5.884974	987.5916	964.90094	1000.0	1000.0	147999	126.72454	126.72458	-126.593956	3.2331998	0.5144454	0.07202046	1.051082	0.36914903	0.62661964	0.027947277	0.70076233	0.54652894	3813.6623578071594
38	983.4397	15.374805	1003.2489	960.0595	988.95	5.948659	999.5039	980.804	1000.0	1000.0	151999	119.66589	119.66584	-119.539635	2.546559	0.44151056	0.04136016	0.68408954	0.33427337	0.6436155	0.0237089	0.7089615	0.5892915	3918.329323530197
39	986.0274	2.711162	988.7899	982.2925	988.94806	6.239616	996.749	979.63293	1000.0	1000.0	155999	114.03615	114.03618	-113.92026	2.192766	0.4148433	0.03973622	0.6029572	0.3111145	0.65487385	0.030088596	0.7189915	0.5841701	4021.0391731262207
40	989.5572	3.3955638	992.9104	985.0691	987.2272	1.5673728	989.8553	984.20654	1000.0	1000.0	159999	109.43468	109.43462	-109.327354	1.893146	0.38736147	0.033702843	0.5414024	0.29478765	0.6619388	0.03927801	0.7710717	0.581634	4125.370478153229
41	994.31384	8.503254	1006.5097	984.35876	991.8175	1.3274478	994.7799	989.61475	1000.0	1000.0	163999	105.71841	105.71834	-105.60694	1.6420424	0.35274726	0.026301056	0.4940943	0.28815544	0.71947706	0.048475087	0.80524236	0.5841361	4229.236323595047
42	996.57837	2.8792403	998.7444	991.7088	989.6387	1.5671608	992.04126	987.30505	1000.0	1000.0	167999	102.83666	102.83656	-102.73967	1.4385251	0.3498793	0.024816757	0.45923677	0.28087845	0.67732507	0.027844476	0.7695561	0.62455964	4334.640775203705
