Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	$\alpha$	Stdalpha	Maxalpha	Minalpha	Time
36	2556.9236	120.89374	2734.3533	2393.1006	1931.902	65.33173	2049.831	1803.0411	1000.0	1000.0	143999	166.11095	166.11069	-165.59415	14.367192	1.6496142	0.051315937	1.8458512	1.4690446	0.69379824	0.032026198	0.7849044	0.621732	3326.832164287567
37	2629.9207	122.21969	2837.3418	2530.8835	2692.133	180.06595	2887.3423	2273.58	1000.0	1000.0	147999	170.8902	170.89008	-170.42378	14.844961	1.650926	0.049576208	1.8259559	1.4923873	0.7201691	0.035905167	0.79253066	0.63960594	3418.7931599617004
38	2516.5596	146.38388	2734.4392	2338.6497	2385.7466	89.77427	2476.9746	2236.961	1000.0	1000.0	151999	176.97739	176.97733	-176.55635	14.998055	1.6497649	0.050047938	1.842817	1.4513382	0.6969066	0.03873705	0.7797729	0.61966985	3510.983479976654
39	2541.6904	94.08102	2655.85	2426.4995	2528.3147	113.9413	2661.8538	2285.7146	1000.0	1000.0	155999	180.8487	180.8486	-180.36928	15.445441	1.6493111	0.049641743	1.8221911	1.4885522	0.6607113	0.019304287	0.6983166	0.6069212	3602.8284883499146
40	2578.025	78.4622	2685.1814	2467.1917	2751.3716	203.7308	3035.9773	2444.9773	1000.0	1000.0	159999	183.092	183.09193	-182.56427	15.200551	1.6498226	0.05376617	1.8644974	1.4747286	0.6602864	0.03840662	0.75093794	0.5887233	3694.5658197402954
41	2526.9521	70.023476	2633.1877	2440.2944	2690.656	108.02346	2893.736	2559.8032	1000.0	1000.0	163999	184.9664	184.96654	-184.43002	15.317912	1.650076	0.049624644	1.8361384	1.4692231	0.6628972	0.020549728	0.7187791	0.61414194	3786.597777366638
42	2688.9917	122.51058	2865.9216	2572.766	2812.163	120.08651	2977.2632	2559.2207	1000.0	1000.0	167999	187.51358	187.51358	-186.98468	15.763843	1.6507246	0.05034808	1.8007147	1.4646983	0.6736357	0.02865552	0.7423107	0.6052645	3878.295697927475
43	2513.2732	75.21602	2595.1357	2412.7925	2468.6372	81.904465	2578.1765	2340.3757	1000.0	1000.0	171999	190.56848	190.56773	-190.04617	15.98728	1.649421	0.05008118	1.8285971	1.4687288	0.7016433	0.028717963	0.7689063	0.62259036	3970.219478368759
44	2567.053	178.93993	2876.58	2450.6387	2948.103	24.013826	2985.2078	2903.5825	1000.0	1000.0	175999	194.75877	194.75858	-194.2816	16.303667	1.6512465	0.049498748	1.814447	1.4762794	0.6835786	0.029093146	0.73263067	0.61939985	4062.0623223781586
45	2824.999	93.23246	2958.8325	2707.4448	2939.9868	155.26682	3195.395	2717.6746	1000.0	1000.0	179999	198.11781	198.11739	-197.56886	16.49164	1.6501608	0.05234203	1.8288468	1.472069	0.7047347	0.039304394	0.8000856	0.604838	4154.017204999924
