Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
86	1438.762	460.45972	1994.4376	974.9888	1555.3986	305.82285	1898.768	925.0669	1000.0	1000.0	343999	180.47398	60.392036	385.26508	-44.85536	-181.72975	43.570225	3732.9042496681213
87	1622.3396	235.982	1897.9336	1374.6062	1541.2054	167.28125	1829.0925	1196.388	1000.0	1000.0	347999	179.94046	61.354847	396.63782	-32.17632	-181.1205	43.812023	3776.7718267440796
88	1128.1322	796.40424	2242.7346	86.90509	1080.2092	538.64923	2021.1288	157.03311	1000.0	1000.0	351999	179.49937	61.885925	395.38797	-31.826145	-180.71138	44.104855	3819.849406480789
89	1353.5524	636.3789	2314.6445	611.5538	1013.0412	533.295	1775.6248	-26.06229	1000.0	1000.0	355999	179.09102	61.965683	388.67682	-49.158287	-180.29231	43.467186	3863.4580693244934
90	1086.3804	264.68576	1503.2992	787.46655	1263.0203	786.00775	2611.124	-611.82355	1000.0	1000.0	359999	178.88458	62.35695	393.39175	-31.559841	-180.07613	44.650623	3907.1840200424194
91	1448.7303	182.05893	1751.3063	1294.0786	1700.015	371.38416	2335.25	1084.4082	1000.0	1000.0	363999	178.94144	62.875767	395.36972	-43.13818	-180.15652	44.57419	3950.7241899967194
92	1382.7141	670.0895	2457.967	614.4638	514.4395	731.80194	1675.543	-1098.5729	1000.0	1000.0	367999	180.4578	63.531094	395.05124	-34.80909	-181.71754	46.21587	3994.3764464855194
93	721.6013	625.8113	1357.0872	-232.41609	1577.9418	662.15045	2756.975	484.2701	1000.0	1000.0	371999	181.09943	63.63898	399.89783	-39.884518	-182.34418	45.495876	4037.8088071346283
94	971.97314	263.11115	1239.4446	595.22284	1459.6047	256.0636	1780.5571	970.3045	1000.0	1000.0	375999	182.08224	63.996754	401.64035	-61.336575	-183.34753	46.301414	4081.6723053455353
95	1516.0208	188.88246	1792.7013	1266.3494	1273.9457	462.05847	1959.8934	453.451	1000.0	1000.0	379999	183.3289	64.26668	402.00977	-78.05575	-184.61484	47.713448	4124.926863193512
96	580.0323	310.81686	950.8793	122.53478	1238.5222	534.46484	2197.8423	439.06363	1000.0	1000.0	383999	184.93858	63.718624	407.25372	-72.8772	-186.21104	47.635532	4168.467499017715
97	1074.6604	415.94162	1581.2068	446.7734	1486.572	706.46155	2556.7512	360.90067	1000.0	1000.0	387999	184.87428	63.520565	389.022	-58.648266	-186.06474	47.515564	4211.926508426666
98	1250.7865	760.4545	2221.316	403.88904	1060.5088	573.9233	1828.596	-243.051	1000.0	1000.0	391999	184.4992	63.511482	392.11456	-54.314064	-185.70644	46.645462	4255.595643043518
99	1524.3834	473.76404	2337.922	1158.9625	1230.0133	630.40247	2025.5981	30.488926	1000.0	1000.0	395999	184.0924	63.593025	394.47275	-43.08481	-185.28139	47.774353	4299.309785604477
100	1438.9929	502.03558	1981.424	721.93494	1398.1028	578.3518	2650.313	358.46155	1000.0	1000.0	399999	183.54802	63.03726	405.99622	-34.71449	-184.7062	47.826954	4343.045972824097
101	1285.0304	843.93634	2243.6406	-28.216013	498.3706	556.6343	1466.3208	-338.36462	1000.0	1000.0	403999	183.36534	62.988777	418.89017	-32.923798	-184.51643	49.101105	4386.453993558884
