Epoch	AverageTestEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet0	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	Averagealpha	Stdalpha	Maxalpha	Minalpha	Time
39	3963.0269	137.64381	4179.641	3805.0098	4456.8438	87.310646	4635.255	4292.8364	1000.0	1000.0	155999	336.61627	336.61627	-335.96878	16.597666	0.79666334	0.0441022	1.0730374	0.66240317	1.4901165	0.03991067	1.6214848	1.4018675	3251.823383331299
40	3998.1853	110.53549	4119.8154	3872.172	4378.9937	72.101814	4523.597	4271.85	1000.0	1000.0	159999	339.98615	339.98605	-339.34274	16.660156	0.8000289	0.04479162	0.9982026	0.6429869	1.4730197	0.034928437	1.5667182	1.3825153	3335.3163690567017
41	4017.5098	64.635056	4090.9597	3924.7073	4531.2705	78.88789	4672.68	4408.5	1000.0	1000.0	163999	343.16455	343.1645	-342.48483	16.863691	0.8026129	0.04561731	0.9855577	0.65413797	1.5060259	0.03693621	1.6081467	1.4229839	3419.939056634903
42	3986.9346	140.99066	4084.1077	3744.4421	4553.675	82.30155	4691.7007	4426.3945	1000.0	1000.0	167999	346.37387	346.37387	-345.699	17.01007	0.8147457	0.046135046	0.9823204	0.65367275	1.4919033	0.02827474	1.6040846	1.4358962	3504.1706504821777
43	4083.9539	111.17418	4213.7773	3913.1982	4529.7666	148.9024	4731.9106	4240.1147	1000.0	1000.0	171999	349.5523	349.5521	-348.85794	17.252579	0.8206565	0.04699472	1.0189773	0.6693087	1.5067022	0.038114376	1.6089022	1.4213105	3589.0664689540863
44	4013.8696	96.820465	4129.805	3866.4805	4648.9424	46.5469	4718.725	4551.265	1000.0	1000.0	175999	352.66452	352.6645	-351.9864	17.303896	0.8303889	0.04591355	1.00594	0.6619185	1.5011623	0.034346808	1.6141487	1.4135495	3672.583781480789
45	4126.6943	63.140095	4197.5586	4063.304	4624.897	101.335335	4763.2266	4397.6675	1000.0	1000.0	179999	356.2886	356.28873	-355.58868	17.116386	0.8402804	0.04626735	1.0284821	0.66319954	1.4980017	0.032135107	1.5690069	1.4174302	3757.343953847885
46	4249.5874	127.50751	4418.0913	4117.7373	4789.0225	58.869946	4881.976	4696.4683	1000.0	1000.0	183999	359.23135	359.2312	-358.52365	17.19678	0.8494666	0.046951648	1.0276533	0.68781483	1.4962466	0.033766404	1.6112349	1.428804	3841.643341779709
47	4189.2676	148.00264	4346.6587	3946.422	4734.879	78.11574	4850.523	4601.873	1000.0	1000.0	187999	362.05252	362.0525	-361.32718	17.316706	0.85009325	0.047382914	1.0794444	0.6961904	1.495172	0.034204457	1.5755104	1.4174902	3925.1709866523743
48	4227.6094	130.29118	4399.326	4059.594	4678.669	132.52676	4924.5415	4505.933	1000.0	1000.0	191999	364.58005	364.57996	-363.83167	17.78296	0.8558977	0.046856616	1.0501444	0.70119363	1.5182397	0.041310288	1.6139758	1.4326811	4010.094925880432
49	4210.2944	76.45318	4338.6724	4140.0938	4747.0894	101.679016	4893.4604	4550.964	1000.0	1000.0	195999	367.36307	367.36313	-366.61017	17.913395	0.8694102	0.046360448	1.0534358	0.7181945	1.5109304	0.028481266	1.5812123	1.4452896	4095.423983812332
50	4352.783	54.92441	4443.441	4304.4385	4820.6045	136.52753	4987.9766	4592.7773	1000.0	1000.0	199999	370.01825	370.01813	-369.26645	18.057423	0.8702549	0.048453886	1.1042198	0.71533453	1.5150342	0.026132077	1.5724714	1.4547919	4180.329973936081
51	4318.0894	123.603325	4491.184	4170.791	4989.2734	37.325512	5029.434	4919.622	1000.0	1000.0	203999	372.71268	372.71265	-371.9493	18.380426	0.88034886	0.05156636	1.0743368	0.6853256	1.526962	0.046565693	1.6246792	1.4043643	4264.396752119064
52	4456.66	135.80821	4548.406	4221.8774	4957.3145	114.12034	5142.7173	4779.024	1000.0	1000.0	207999	375.92285	375.92273	-375.17236	18.599356	0.9115635	0.04862874	1.0856775	0.75532675	1.5143725	0.03411963	1.6063547	1.4441806	4348.307997226715
53	4520.62	177.24706	4652.0103	4217.4805	5033.5596	91.17329	5280.4463	4919.623	1000.0	1000.0	211999	380.0474	380.0475	-379.31888	18.76872	0.9286423	0.048944194	1.1056892	0.73682725	1.5111979	0.0358738	1.6274399	1.4429629	4431.3569457530975
54	4516.7285	85.795746	4650.6865	4434.5474	5058.494	160.85811	5347.9243	4820.025	1000.0	1000.0	215999	383.9475	383.9474	-383.193	19.064812	0.9381794	0.05014744	1.1272366	0.7799788	1.5134807	0.03766369	1.6132557	1.4315094	4518.267821311951
55	4477.584	154.04791	4738.868	4341.2817	5290.1357	76.66125	5374.2837	5110.7515	1000.0	1000.0	219999	387.82233	387.82233	-387.07462	18.906261	0.95065826	0.04941218	1.1289734	0.7946963	1.4915895	0.025349485	1.5759909	1.4163826	4602.343402862549
56	3388.4272	2114.0344	4720.4688	-269.8179	5237.151	123.40081	5447.765	5064.8765	1000.0	1000.0	223999	390.79016	390.78995	-389.9944	18.964617	0.9498612	0.048608005	1.1307826	0.77066064	1.5015054	0.030372143	1.5956421	1.4315095	4686.992909193039
57	4596.2437	182.9217	4860.451	4364.8965	5192.997	143.08412	5468.487	4984.2607	1000.0	1000.0	227999	392.78027	392.7802	-391.94305	19.820894	0.9513141	0.04902119	1.1893541	0.76561564	1.554637	0.026019074	1.6154473	1.4929396	4770.223757743835
58	4653.6587	91.928154	4795.3604	4543.4053	5339.366	106.86546	5547.1377	5194.202	1000.0	1000.0	231999	395.6922	395.69193	-394.8812	20.614498	0.9812113	0.052249838	1.1594412	0.80638105	1.5235614	0.036107738	1.6149093	1.4592382	4855.837438821793
59	4845.259	114.00292	5014.9287	4740.6025	5370.523	111.94946	5570.796	5192.2495	1000.0	1000.0	235999	399.21808	399.21786	-398.43155	20.336468	1.0049845	0.052230094	1.2021846	0.82948625	1.5086654	0.0364495	1.6415707	1.4238327	4942.415678262711
60	4883.6094	100.88464	5015.687	4778.7637	5620.824	98.41384	5835.8843	5475.945	1000.0	1000.0	239999	403.48535	403.48532	-402.70105	20.508152	1.0324777	0.054887064	1.2296202	0.848662	1.511664	0.041237682	1.6394495	1.4286866	5025.73015332222
61	4750.777	92.048256	4842.234	4626.977	5651.708	94.06116	5808.8984	5479.6846	1000.0	1000.0	243999	407.92383	407.92365	-407.0982	21.3095	1.0444181	0.052496172	1.2272555	0.8881437	1.5432707	0.025604162	1.6259477	1.4852585	5108.815719604492
62	5056.915	138.16931	5275.566	4906.899	5975.4927	174.59366	6199.6987	5549.796	1000.0	1000.0	247999	412.53912	412.53897	-411.74045	20.874027	1.0723822	0.05334928	1.2696699	0.8686187	1.5204988	0.03535744	1.6117657	1.4359014	5193.122735977173
63	5007.943	151.10793	5183.4985	4857.3022	6027.411	112.8027	6250.7383	5833.7666	1000.0	1000.0	251999	417.60913	417.609	-416.80075	21.850191	1.0963984	0.055296082	1.2856548	0.9174045	1.5255198	0.029886564	1.6329491	1.4672426	5277.892819881439
64	5063.186	147.36707	5243.4556	4833.6616	5489.825	1267.402	6255.848	2483.8525	1000.0	1000.0	255999	422.85352	422.8535	-422.0598	22.290457	1.1229924	0.055887792	1.3321894	0.94178355	1.535283	0.030479964	1.6080425	1.4723142	5360.745733737946
65	5293.5684	99.19977	5430.461	5195.9766	6293.792	125.20012	6552.794	6117.438	1000.0	1000.0	259999	428.63052	428.6302	-427.8195	22.490368	1.1424472	0.05600933	1.3249053	0.941945	1.5324595	0.032839328	1.6049145	1.461736	5446.231719970703
66	5454.035	39.209488	5484.673	5386.8965	6014.5264	1303.6304	6658.9272	2130.852	1000.0	1000.0	263999	434.07852	434.07852	-433.2722	22.886528	1.1726519	0.058847405	1.3961046	0.96751475	1.546172	0.03565152	1.6223525	1.4522144	5525.363811016083
67	4329.4136	1538.357	5455.349	1679.041	6405.0435	131.53307	6673.579	6199.931	1000.0	1000.0	267999	440.0655	440.06516	-439.22452	23.457308	1.1910771	0.057092287	1.4159315	1.0007064	1.5479133	0.025191953	1.6111236	1.4621985	5608.920470714569
68	5615.5513	140.09456	5758.372	5389.41	6431.7573	113.362366	6601.2505	6218.835	1000.0	1000.0	271999	444.7505	444.75055	-443.95523	23.900984	1.2186621	0.060956337	1.4394568	0.97168165	1.5214181	0.044709176	1.6501831	1.4188447	5692.217125892639
69	4731.2627	1524.3817	5780.17	2108.1016	6340.9404	502.58163	6756.128	5006.5767	1000.0	1000.0	275999	450.99612	450.99625	-450.2093	24.766214	1.262737	0.06134736	1.4968448	1.0249748	1.5248816	0.03427277	1.6346872	1.4134562	5776.355819225311
70	5711.7925	75.67675	5793.7715	5589.785	6786.7	91.72382	6990.275	6680.3706	1000.0	1000.0	279999	457.3772	457.377	-456.57028	25.825129	1.3029175	0.06279228	1.5223141	1.0900604	1.5517833	0.03244299	1.6459255	1.4925101	5860.3772785663605
71	5898.6597	124.70532	6021.141	5715.8857	6624.6562	82.045906	6724.9985	6508.3657	1000.0	1000.0	283999	465.54184	465.54184	-464.78165	27.494898	1.370532	0.069908686	1.625758	1.1199856	1.5489455	0.034026437	1.6460423	1.4689044	5943.066425085068
72	5975.6953	196.39886	6224.1675	5674.962	6295.792	985.5083	6706.901	3344.945	1000.0	1000.0	287999	475.43704	475.43677	-474.70456	27.007679	1.4178127	0.06677308	1.6831907	1.2109462	1.5384961	0.031547476	1.632253	1.4642639	6023.1977372169495
73	5977.2188	93.974724	6106.2583	5856.654	5811.2764	1924.8534	6969.9575	1398.9053	1000.0	1000.0	291999	484.08328	484.08344	-483.31268	27.348347	1.4266279	0.065252	1.6496384	1.2043424	1.5437093	0.03184669	1.6683968	1.4879104	6105.843836307526
74	6182.492	85.842316	6262.625	6056.5903	6281.4116	93.66385	6434.874	6154.674	1000.0	1000.0	295999	492.1483	492.14865	-491.3873	27.904602	1.4509287	0.065560974	1.66839	1.2418047	1.5327868	0.03371734	1.6116377	1.4634173	6189.423064947128
75	6385.7427	164.15427	6627.9844	6165.3857	6492.035	102.78355	6683.588	6303.0737	1000.0	1000.0	299999	499.9797	499.97968	-499.20612	27.814999	1.4735354	0.065825276	1.7244222	1.2491758	1.5289098	0.034622964	1.619229	1.4535495	6275.8800621032715
76	6516.878	89.05597	6646.9297	6405.605	7354.331	130.0927	7648.266	7194.5327	1000.0	1000.0	303999	507.00052	507.0005	-506.20505	26.91226	1.5055164	0.068376474	1.7578909	1.2801714	1.5228428	0.04097325	1.62447	1.3945119	6357.506073474884
77	6412.5723	141.67929	6550.581	6175.7417	7353.9546	105.63327	7503.0464	7106.908	1000.0	1000.0	307999	514.39496	514.3949	-513.5972	27.176546	1.5139037	0.06644768	1.7781128	1.2754908	1.5286175	0.029267272	1.6061791	1.4616343	6440.967261552811
78	6569.5654	197.10681	6751.535	6236.6914	7305.84	62.186657	7400.762	7164.8564	1000.0	1000.0	311999	521.21173	521.2117	-520.40875	26.601894	1.5334606	0.06978436	1.7916987	1.3094163	1.5389854	0.032454375	1.6344045	1.4774686	6526.817357301712
79	6659.3867	77.75325	6760.19	6572.886	7323.582	187.44931	7538.7188	6887.513	1000.0	1000.0	315999	528.49	528.48975	-527.67694	27.421364	1.5621147	0.06697522	1.7742848	1.3346713	1.535886	0.03191264	1.6627194	1.4678998	6611.319826364517
80	6835.6885	108.59351	7014.3467	6737.5454	7554.8413	98.462906	7716.7944	7391.195	1000.0	1000.0	319999	535.6305	535.6305	-534.7941	27.26063	1.577144	0.06983264	1.8006296	1.3204118	1.5449196	0.02940432	1.609744	1.4686084	6695.6280789375305
81	6929.1807	125.63321	7068.135	6801.159	7451.822	65.26793	7565.0054	7333.9883	1000.0	1000.0	323999	542.7383	542.73834	-541.91003	27.101404	1.6014653	0.0702983	1.8426673	1.3450502	1.5440909	0.030930547	1.6209008	1.474152	6779.034014940262
82	7023.506	187.7674	7154.703	6699.218	7746.198	106.07715	7859.2915	7471.6636	1000.0	1000.0	327999	549.7986	549.7986	-548.97974	28.032078	1.6285071	0.06959852	1.8852319	1.3747184	1.5420454	0.03074486	1.611167	1.4678764	6863.61368560791
83	7070.5366	63.74034	7154.5664	6975.764	7838.7197	127.86635	8030.0596	7630.2993	1000.0	1000.0	331999	556.86017	556.8603	-556.0152	29.282112	1.6590052	0.06938021	1.886902	1.4044771	1.5591917	0.027754221	1.6164769	1.4804499	6948.746507644653
84	7282.0977	110.99073	7465.562	7167.169	7419.3843	102.73789	7551.5044	7188.036	1000.0	1000.0	335999	564.45874	564.4584	-563.6569	28.795176	1.6902274	0.07000331	1.9498843	1.4635447	1.5338757	0.035322383	1.6193099	1.455643	7033.557292461395
85	7312.727	238.11891	7519.196	6919.236	7675.7954	122.76446	7936.21	7516.697	1000.0	1000.0	339999	572.7514	572.7513	-571.955	29.074322	1.7297353	0.07059207	1.9785497	1.4659703	1.5414559	0.0371096	1.6623211	1.4507853	7117.496628522873
86	7613.794	250.29439	7984.656	7332.129	8052.358	160.82288	8301.512	7717.0337	1000.0	1000.0	343999	581.1527	581.15283	-580.3819	29.40495	1.7625637	0.0702245	2.0243068	1.5317563	1.5171982	0.040070195	1.6118033	1.4255408	7201.249848604202
87	7800.7036	232.14705	8040.61	7508.7715	8341.065	107.91837	8627.951	8200.177	1000.0	1000.0	347999	588.9966	588.99664	-588.17426	28.966705	1.7701421	0.070095286	2.0354893	1.530274	1.531699	0.029948039	1.5948551	1.4506156	7285.936834812164
88	7765.9463	92.038765	7888.273	7628.861	7925.4424	104.05944	8103.9507	7753.2217	1000.0	1000.0	351999	596.18414	596.1841	-595.33264	30.040289	1.7831725	0.070679426	2.0356486	1.5419489	1.5442445	0.026607517	1.6277081	1.4731663	7371.877019882202
89	7825.2314	40.095898	7880.449	7771.3745	8657.135	168.49641	8840.6875	8296.519	1000.0	1000.0	355999	604.34674	604.34625	-603.5395	30.654036	1.8225505	0.074617825	2.0980356	1.5561237	1.5563221	0.03168854	1.632232	1.4753181	7453.743643045425
90	7867.2695	153.7637	8038.3955	7692.64	8027.1143	120.90503	8147.986	7788.0703	1000.0	1000.0	359999	613.37634	613.3764	-612.62964	30.514284	1.8602651	0.06940952	2.0971391	1.601713	1.536035	0.03769804	1.6002736	1.4485567	7538.472063541412
91	8214.881	310.71826	8550.827	7859.94	8630.695	81.342804	8779.8	8490.654	1000.0	1000.0	363999	622.2819	622.282	-621.4901	31.910189	1.8702617	0.07149312	2.111307	1.607717	1.5445161	0.031056868	1.6252038	1.4860038	7621.8961408138275
92	8239.132	214.00134	8414.811	7873.8027	8185.0366	210.53125	8510.977	7821.3574	1000.0	1000.0	367999	630.7103	630.7103	-630.01	30.459135	1.9083714	0.07009316	2.1959255	1.6678009	1.5017353	0.035421822	1.6210896	1.4340284	7705.9851331710815
93	8240.209	74.53697	8318.413	8142.829	8249.561	75.11625	8366.299	8089.5107	1000.0	1000.0	371999	638.8906	638.89087	-638.1395	31.155994	1.914722	0.06999686	2.1841424	1.6811078	1.5242878	0.034665484	1.6371775	1.4430716	7790.053005456924
94	8211.364	343.22375	8514.804	7629.669	8771.619	141.55882	8970.188	8551.142	1000.0	1000.0	375999	646.79395	646.79376	-646.0323	31.407759	1.9278301	0.06949353	2.2056308	1.6853981	1.5296065	0.030906534	1.6038864	1.451531	7874.565321683884
95	8541.152	179.42987	8838.715	8395.983	8763.069	102.9075	8986.269	8637.204	1000.0	1000.0	379999	654.7152	654.7155	-653.957	32.349163	1.9388709	0.07028349	2.1802843	1.6818869	1.5372545	0.028297432	1.6261277	1.4617133	7959.125334978104
96	8553.289	57.599346	8636.205	8495.361	8937.067	160.68959	9251.295	8698.101	1000.0	1000.0	383999	662.4528	662.45264	-661.7294	33.136154	1.9680115	0.07028717	2.2655902	1.7046118	1.5235347	0.03792937	1.6300267	1.4376462	8044.208657503128
