Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
39	6179.6606	22.233873	6205.695	6152.117	6671.2407	81.70785	6776.272	6497.06	1000.0	1000.0	155999	369.01035	119.267715	505.09387	-63.647995	369.0103	119.26842	503.5294	-56.629612	3.3583624	4.458593	39.879417	-14.883614	-368.9609	25.276726	2819.559894800186
40	6295.4756	76.53609	6390.3076	6181.7476	6870.229	84.72598	7022.8115	6713.0986	1000.0	1000.0	159999	375.43332	120.02509	509.17215	-44.59333	375.43292	120.025894	508.41812	-50.164177	3.313416	4.429594	45.39857	-12.370998	-375.35495	24.918133	2891.304079771042
41	6404.7134	77.23525	6498.83	6310.8296	6939.9365	73.89928	7085.149	6810.994	1000.0	1000.0	163999	381.55444	120.702835	513.312	-51.45671	381.55417	120.70376	515.6543	-50.058636	3.4560087	4.463638	54.763954	-12.388653	-381.47156	25.180689	2963.5276007652283
42	6397.2905	86.7533	6528.41	6284.584	6892.6357	70.40579	7006.966	6738.89	1000.0	1000.0	167999	387.52768	121.08639	518.0946	-51.146225	387.52768	121.086945	518.9801	-49.116806	3.508101	4.455614	45.466385	-13.300785	-387.4183	24.904879	3035.8048100471497
43	6436.682	118.63669	6608.785	6276.5293	7039.0093	62.884228	7162.34	6930.7563	1000.0	1000.0	171999	393.26755	121.49943	527.63025	-50.09838	393.26755	121.50056	527.7458	-46.992725	3.5566332	4.43607	44.597458	-12.195666	-393.12985	25.034555	3108.351606607437
44	6466.1533	111.539276	6561.9517	6279.155	7031.3857	70.588	7142.5723	6896.5645	1000.0	1000.0	175999	398.4758	122.0235	528.9712	-53.620445	398.47513	122.024864	526.3199	-47.968555	3.653093	4.452784	45.47466	-12.819317	-398.35156	25.587942	3180.934168100357
45	6442.415	176.65277	6632.8496	6161.101	7073.517	86.30139	7247.965	6921.8677	1000.0	1000.0	179999	403.86908	122.321144	531.2029	-40.621037	403.86865	122.32187	531.40906	-41.00464	3.6424375	4.4498215	41.24274	-15.085325	-403.71906	25.31498	3252.344511985779
46	6562.2007	57.52018	6618.541	6466.028	7002.918	129.48671	7222.877	6732.1455	1000.0	1000.0	183999	408.54617	122.49602	534.0772	-33.481575	408.54596	122.49653	534.42303	-32.4963	3.7065678	4.455734	47.184666	-13.436553	-408.35477	25.000116	3324.8319523334503
47	6574.677	124.682945	6790.2886	6494.9077	7013.7	82.040955	7178.345	6868.1	1000.0	1000.0	187999	413.1154	122.64807	538.8097	-56.936928	413.1154	122.6494	536.5577	-55.566013	3.7257593	4.4672604	52.76024	-13.708573	-412.92856	25.100094	3396.8751039505005
48	6577.8853	59.96913	6641.472	6479.7217	7179.15	70.7598	7280.957	7060.133	1000.0	1000.0	191999	417.09763	123.04223	540.85876	-72.44142	417.09756	123.04285	541.37805	-76.62833	3.7543762	4.480719	40.52757	-13.031624	-416.87848	24.777275	3469.0247950553894
49	6548.654	74.6359	6607.603	6420.682	7185.9717	115.94641	7323.8486	6953.547	1000.0	1000.0	195999	421.8057	122.90535	549.5678	-63.60114	421.80573	122.90604	549.1553	-63.065605	3.8903053	4.5045915	56.35309	-15.238708	-421.59732	24.887487	3541.1599519252777
50	6747.9653	94.96996	6882.161	6627.234	7287.5166	60.896034	7380.9937	7168.0425	1000.0	1000.0	199999	425.6025	123.16346	551.12976	-58.79457	425.60196	123.1649	552.9583	-36.92812	3.9143786	4.488242	55.051277	-16.667793	-425.36905	25.625212	3612.050605535507
51	6653.2583	42.269855	6714.3667	6594.8857	7191.4116	98.36483	7344.3394	7000.7515	1000.0	1000.0	203999	429.842	123.46154	554.94055	-39.342033	429.8414	123.4623	554.0802	-35.21795	3.8963196	4.4609394	43.552444	-12.4861	-429.59344	25.34373	3684.168233156204
52	6639.816	113.74069	6761.4556	6456.088	7259.453	128.41304	7478.386	7058.077	1000.0	1000.0	207999	433.5221	123.42306	557.7867	-45.443466	433.52213	123.423965	559.1533	-50.70587	3.918605	4.440953	49.253487	-14.100261	-433.2413	25.443783	3756.1459765434265
53	6724.117	145.27332	6918.439	6552.1577	7367.831	108.99385	7550.1924	7160.1655	1000.0	1000.0	211999	436.888	123.66725	560.92456	-56.35232	436.88776	123.66854	562.78424	-55.599476	4.003649	4.466746	54.570145	-15.188548	-436.61508	25.33439	3829.4295132160187
54	6806.3735	134.19577	7030.6724	6676.108	7267.621	76.359344	7394.653	7119.267	1000.0	1000.0	215999	440.84015	123.227875	570.15344	-97.28772	440.84015	123.22785	568.7567	-82.78276	4.0433445	4.4614716	59.94002	-13.078574	-440.5362	24.674753	3901.001549243927
55	6790.9834	60.19568	6866.5312	6712.5615	7446.6494	95.060776	7635.473	7332.12	1000.0	1000.0	219999	444.07236	123.819046	569.5678	-73.28798	444.0722	123.82061	570.47064	-74.317924	4.0753717	4.471356	42.152515	-14.470104	-443.76447	25.318699	3972.6310410499573
56	6792.7925	112.57989	6923.597	6618.011	7298.832	100.97648	7460.9033	7117.9985	1000.0	1000.0	223999	447.30865	123.485664	572.6344	-77.17197	447.30844	123.48606	571.3154	-77.482185	4.044514	4.427124	39.79781	-14.116711	-446.9876	25.117094	4045.158060312271
57	6812.83	134.68736	7015.215	6657.5347	7339.7134	116.776855	7543.0776	7155.8823	1000.0	1000.0	227999	450.7463	123.31055	576.04016	-86.74192	450.74588	123.31202	577.5417	-86.778725	4.112822	4.4218426	46.11808	-13.49444	-450.3959	24.992956	4116.3421993255615
58	6809.5557	137.79515	7030.1436	6652.347	7440.65	101.927246	7635.4204	7279.8477	1000.0	1000.0	231999	453.7951	122.91205	585.69476	-80.65219	453.79523	122.91267	587.05994	-77.43349	4.1244926	4.4558887	47.86265	-12.919676	-453.43475	25.479559	4189.207875490189
59	6815.6064	56.882854	6897.4023	6752.017	7476.718	105.052414	7652.7993	7250.348	1000.0	1000.0	235999	456.44016	122.896454	585.61237	-81.252106	456.4398	122.89665	584.53436	-86.45243	4.1694317	4.4413457	55.615475	-13.40511	-456.06857	25.205988	4261.426452636719
60	6919.6816	99.789024	7090.375	6837.2744	7480.8564	76.12849	7596.2983	7325.418	1000.0	1000.0	239999	459.3198	122.90051	585.6718	-81.26808	459.3196	122.90188	588.34216	-54.70203	4.1995296	4.444965	54.38543	-12.6857605	-458.92795	24.983446	4332.616199493408
61	6944.6475	107.95072	7127.318	6853.719	7462.876	27.28527	7508.736	7428.342	1000.0	1000.0	243999	461.80048	122.98182	590.13617	-48.68959	461.79996	122.98282	588.18274	-56.1778	4.2241836	4.416083	46.65516	-13.665021	-461.4222	25.235538	4404.637884378433
62	7002.3555	90.9347	7136.732	6880.4116	7513.339	78.505745	7634.4463	7396.2183	1000.0	1000.0	247999	464.82516	121.97714	590.68134	-47.65535	464.82504	121.977066	591.72107	-56.30937	4.2397256	4.4233007	52.675385	-12.67976	-464.41336	24.815052	4477.062706708908
63	6941.927	88.16688	7053.7495	6836.6567	7635.3516	100.441154	7745.1177	7475.395	1000.0	1000.0	251999	467.83676	121.68878	593.88806	-61.780388	467.83603	121.69074	595.14435	-69.664154	4.213794	4.3898187	58.490704	-14.045544	-467.43057	25.287434	4548.660241127014
64	6980.2153	82.07417	7079.313	6852.0757	7639.987	117.25146	7907.335	7497.12	1000.0	1000.0	255999	470.07587	122.27763	594.4368	-78.8806	470.0758	122.27825	594.3968	-74.47828	4.228395	4.3787317	56.120316	-12.327773	-469.63214	24.362541	4620.168548345566
65	6922.966	64.17541	7006.191	6842.659	7664.8506	130.4282	7828.4863	7400.555	1000.0	1000.0	259999	472.61432	121.88778	595.02814	-52.897964	472.61404	121.8893	596.31793	-55.933666	4.296412	4.398282	44.103794	-15.847895	-472.19882	24.71957	4692.694557666779
66	7122.294	87.48898	7271.239	7058.806	7613.6533	74.40781	7744.8555	7515.6035	1000.0	1000.0	263999	475.4511	121.841194	595.646	-70.32002	475.45065	121.841125	597.1398	-72.980225	4.362033	4.42865	47.073868	-12.600192	-475.04657	25.10565	4764.919331550598
67	7105.6914	35.004547	7144.99	7064.628	7710.596	98.53099	7890.2607	7571.2324	1000.0	1000.0	267999	478.58865	121.44799	599.13556	-55.91167	478.5883	121.44978	600.1286	-58.661327	4.3871517	4.405353	48.329693	-13.510878	-478.1431	24.825756	4837.307602882385
