Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
55	881.1143	295.54062	1272.3018	556.9728	731.6852	288.16574	1343.6416	365.82785	1000.0	1000.0	219999	-0.60733217	30.542631	180.2936	-241.86617	-0.5998377	30.5541	184.7642	-245.1914	-1.1634437	34.471767	2597.717499732971
56	533.45966	355.14774	1046.8846	74.96659	782.741	389.48944	1664.6572	270.7388	1000.0	1000.0	223999	-1.2434553	30.458553	154.1682	-232.46129	-1.2372173	30.466366	155.6655	-222.14465	-0.5071988	35.102955	2645.287551879883
57	690.57446	295.15433	1180.6619	396.27243	675.82587	230.01685	1022.8991	373.4828	1000.0	1000.0	227999	-2.2512665	30.372795	138.10414	-233.21658	-2.249093	30.38294	136.23328	-249.64821	0.6024402	35.550404	2693.149790763855
58	812.53296	325.44495	1305.0675	481.81805	821.96985	229.97081	1295.2876	509.74747	1000.0	1000.0	231999	-2.6676378	30.327898	123.717285	-229.34799	-2.6663418	30.338478	115.51263	-235.22156	1.0991668	35.376022	2740.8401606082916
59	796.0164	341.3139	1382.6887	541.4452	815.8695	509.65726	2226.2268	379.06137	1000.0	1000.0	235999	-2.729777	30.274082	127.311356	-231.16154	-2.7285545	30.28457	117.30029	-243.25668	0.9452377	35.073013	2788.1700570583344
60	552.5092	301.23126	904.4834	210.63214	968.2428	305.38074	1445.326	447.40668	1000.0	1000.0	239999	-3.1383169	30.339897	109.250595	-241.46948	-3.1379037	30.348639	107.979294	-240.43971	1.4796323	35.01631	2835.7452099323273
61	736.89307	300.74835	1179.4602	459.29184	675.73376	311.21542	1225.637	175.48824	1000.0	1000.0	243999	-3.2071147	30.072163	106.57489	-261.16916	-3.2067196	30.082636	107.003	-259.139	1.5824591	34.249203	2883.6741573810577
62	496.51974	302.40762	897.7133	62.31627	893.3381	527.1363	1872.2677	160.67087	1000.0	1000.0	247999	-3.201708	29.95845	110.023834	-263.04666	-3.2014928	29.966944	110.06375	-285.11874	1.5895305	34.316452	2931.2880754470825
63	911.6914	172.49536	1149.9631	666.31335	605.10095	139.04967	772.5035	386.25452	1000.0	1000.0	251999	-3.1036496	30.18548	112.20865	-262.2132	-3.1034474	30.192764	109.61039	-254.56168	1.5150338	34.37117	2978.9737210273743
64	860.08124	652.911	1849.5933	89.440834	1012.958	558.2924	1907.2999	48.78713	1000.0	1000.0	255999	-3.2635834	30.549345	111.91417	-255.32703	-3.2638378	30.556921	111.17095	-257.0547	1.7096428	35.476414	3026.57341504097
65	617.6135	68.87222	697.19366	535.4243	853.4271	351.3358	1321.25	273.43655	1000.0	1000.0	259999	-3.4823804	30.741055	119.92883	-266.55038	-3.4825354	30.751217	117.42376	-260.70496	1.8692827	36.314087	3074.1789824962616
66	784.20636	213.25388	1126.4473	543.5111	664.58624	327.2133	1554.1708	390.2082	1000.0	1000.0	263999	-3.6164925	30.916555	121.56961	-264.56558	-3.6157303	30.924917	113.36149	-265.0973	1.9186182	36.56262	3121.7515766620636
67	588.2194	562.87305	1495.2761	-50.621822	877.2201	333.3116	1355.5894	380.9914	1000.0	1000.0	267999	-3.6283398	31.221375	119.53855	-249.3562	-3.627865	31.23072	123.839714	-269.64	2.087393	37.00525	3169.4611077308655
68	1050.2759	312.70474	1488.0321	686.02	732.78754	356.03308	1298.6646	68.792244	1000.0	1000.0	271999	-3.7760415	31.577099	118.65494	-260.7159	-3.7771223	31.585957	117.30667	-264.85544	2.049686	37.452953	3217.185780286789
69	545.9815	531.3076	1375.5977	-99.18891	913.99207	451.83865	1529.0677	263.4672	1000.0	1000.0	275999	-3.7901366	31.925852	123.60801	-274.65335	-3.7899482	31.936062	121.10204	-263.67685	2.1319804	38.02629	3264.7445147037506
70	905.6797	458.4488	1345.2302	209.1879	777.60547	411.22977	1558.5204	183.39394	1000.0	1000.0	279999	-3.8618665	32.10932	120.8665	-265.02066	-3.8629382	32.117126	121.65552	-270.37128	2.2013173	38.2415	3312.0933487415314
71	1330.5588	360.43878	1732.9048	780.1771	609.42883	566.9502	1769.9125	-442.18896	1000.0	1000.0	283999	-3.7152698	32.042797	120.434204	-308.4737	-3.7150679	32.049816	119.997406	-310.68604	1.929175	38.1026	3359.5480406284332
72	967.4597	277.06036	1276.131	583.4641	875.8999	556.64026	2065.2043	133.08685	1000.0	1000.0	287999	-3.417159	31.902367	116.897125	-301.65506	-3.4176095	31.910612	119.307205	-304.39258	1.8088721	37.639194	3407.2481088638306
73	529.1681	484.0794	1305.5693	10.823923	931.8254	469.928	1599.8098	195.11348	1000.0	1000.0	291999	-3.4324644	32.052845	122.7791	-276.22104	-3.4320252	32.057167	121.727455	-278.65897	1.7797973	37.76982	3454.8128685951233
74	889.1847	434.04578	1359.9058	317.76245	995.8597	409.52527	1853.5425	554.76874	1000.0	1000.0	295999	-3.0552716	32.420036	123.69502	-291.6796	-3.0560107	32.429176	128.12871	-307.7015	1.4371824	38.84829	3502.2229290008545
75	581.86053	210.06311	930.815	369.18146	1133.8391	319.84924	1521.0093	543.10785	1000.0	1000.0	299999	-2.8926957	32.851814	128.66884	-281.49255	-2.892086	32.86156	126.326996	-288.53714	1.3262938	39.391384	3549.6180210113525
76	617.50134	85.34479	763.23236	546.73425	1275.746	639.61414	2311.9673	403.99957	1000.0	1000.0	303999	-2.6786644	32.771584	129.33421	-277.86768	-2.6786911	32.779213	128.10123	-269.3855	1.1793027	39.390373	3597.128713607788
77	931.0563	197.83833	1170.0656	682.4838	1161.6921	438.361	1942.79	525.7615	1000.0	1000.0	307999	-2.5942278	32.999542	125.66291	-292.65237	-2.595461	33.00798	130.65971	-292.88522	1.0396596	39.584244	3644.810206890106
78	491.61154	194.47064	697.36584	245.37491	1087.3163	452.95694	1661.6758	288.49893	1000.0	1000.0	311999	-2.3402877	33.363754	130.49585	-356.04315	-2.3400073	33.372765	130.79869	-351.25183	0.80952686	40.24077	3692.579679250717
79	679.60583	244.04886	1090.0746	450.97253	767.72516	605.7857	2262.1384	121.98483	1000.0	1000.0	315999	-2.1299706	33.561646	134.27144	-320.8009	-2.1310785	33.566986	133.78032	-332.03046	0.57516307	40.11244	3740.3230407238007
80	1088.7051	783.55963	2368.0237	438.2836	791.52954	462.6202	1766.0737	300.14993	1000.0	1000.0	319999	-2.3123982	34.03415	137.77333	-369.72415	-2.3123984	34.04703	135.46631	-359.4391	0.7038806	40.34194	3787.9285883903503
81	632.86365	242.52693	1021.7804	367.2863	861.5677	436.88766	1832.4353	361.46118	1000.0	1000.0	323999	-2.4020057	34.599495	138.21278	-319.419	-2.402206	34.604767	141.90865	-324.34473	0.8038462	40.65118	3835.22904586792
82	888.17126	372.23447	1469.9766	490.0498	988.14435	527.18604	1769.0903	-14.42754	1000.0	1000.0	327999	-2.2807992	35.03329	144.72633	-304.39258	-2.2790387	35.041653	149.3019	-316.15475	0.5842518	40.795475	3882.791253566742
83	663.96405	280.80682	1066.3567	314.27	1195.2145	554.7996	2287.7825	259.46344	1000.0	1000.0	331999	-1.8600212	35.087566	146.05591	-317.92972	-1.858215	35.0925	150.94144	-312.61844	0.26368365	41.238125	3930.4346504211426
84	811.83813	477.09393	1378.6191	243.95982	846.3944	492.70486	1480.8116	246.2387	1000.0	1000.0	335999	-1.9341427	35.42803	145.19498	-341.97595	-1.9342954	35.439053	150.03445	-350.3507	0.28462723	41.133625	3978.091760158539
85	1110.9998	437.10318	1613.9117	488.60846	1079.4316	312.1852	1501.4403	631.6141	1000.0	1000.0	339999	-2.177029	35.79935	147.34982	-333.89514	-2.1776807	35.80622	148.71829	-317.3315	0.5028197	42.12676	4025.757349014282
86	1215.7126	487.33795	2038.4761	773.87445	1103.1952	488.26938	1990.4888	167.2953	1000.0	1000.0	343999	-1.9120636	36.35388	145.99661	-329.56003	-1.9104154	36.359806	152.78267	-336.18097	0.18436083	42.317314	4073.409059524536
87	695.2765	239.40005	1099.3785	490.0292	848.18396	353.85184	1512.5052	392.17108	1000.0	1000.0	347999	-1.6982759	36.51855	155.46826	-333.8677	-1.6974994	36.525772	158.86127	-333.91528	-0.062518336	41.96139	4121.109216213226
