Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	Averagealpha	Stdalpha	Maxalpha	Minalpha	Time
30	1833.7046	207.078	2068.3982	1546.1318	1919.5602	70.99561	2060.2805	1798.8529	1000.0	1000.0	119999	140.3143	48.729874	361.49863	43.44216	140.31427	48.728447	360.37836	43.222076	-140.66525	10.201374	2.2613912	0.025854804	2.3441467	2.1564946	0.0067382194	1.1909166e-06	0.006742067	0.006734937	3019.5991373062134
31	1940.0974	117.23569	2119.3916	1812.0782	1882.222	99.39224	2017.1385	1650.3815	1000.0	1000.0	123999	142.27756	46.060802	353.42172	44.134907	142.27724	46.061028	352.30396	44.92078	-142.6214	10.39135	2.2625	0.026512327	2.3568597	2.1763124	0.0067382003	1.0985121e-06	0.006742222	0.0067348727	3127.422459602356
32	1950.0859	175.48117	2229.4224	1747.2542	1981.8701	77.31356	2096.188	1840.9768	1000.0	1000.0	127999	144.75777	45.642895	357.66312	44.587055	144.75807	45.642868	356.7696	44.300068	-145.16003	10.721508	2.2680395	0.025353756	2.3464704	2.1699173	0.006738202	1.1306602e-06	0.0067422665	0.0067348056	3230.313331604004
33	1848.4626	69.833145	1960.4752	1769.2719	2117.1038	101.31849	2307.4712	1947.3999	1000.0	1000.0	131999	147.82584	46.575993	356.99484	40.649258	147.82568	46.574947	355.33685	42.30502	-148.2146	10.880069	2.2604449	0.026338328	2.338196	2.1562595	0.006738204	1.1640816e-06	0.0067421314	0.0067348345	3330.792229413986
34	2025.6421	115.41803	2118.2588	1834.0332	1948.3287	67.02631	2035.5626	1834.6934	1000.0	1000.0	135999	150.1997	45.764805	332.82104	40.88111	150.19974	45.76415	333.87686	40.46417	-150.5003	11.146897	2.2668772	0.026661273	2.3500755	2.154794	0.0067382	1.1169195e-06	0.0067421696	0.006734699	3437.3208525180817
35	1984.2412	51.269897	2043.9929	1902.6664	2021.2123	137.00423	2208.6313	1784.9624	1000.0	1000.0	139999	151.4397	42.751953	310.92084	44.374233	151.43959	42.750034	309.3579	44.27384	-151.70047	11.270859	2.2618303	0.026156684	2.3396213	2.1729155	0.006738183	1.1124631e-06	0.006742093	0.006734895	3543.5900588035583
36	1865.5325	93.77504	1959.3632	1754.7677	1893.1383	179.97786	2248.119	1636.0759	1000.0	1000.0	143999	152.54208	40.866283	307.2857	53.493042	152.54193	40.865364	306.73087	53.09952	-152.8173	11.6854105	2.258356	0.026688725	2.3409631	2.144485	0.006738203	1.1667454e-06	0.0067420513	0.006734648	3646.124665737152
37	1902.4944	121.834015	2099.341	1781.3463	2031.5856	174.59491	2320.083	1724.499	1000.0	1000.0	147999	154.27812	40.565243	299.8375	52.189625	154.27826	40.56413	299.425	52.202484	-154.55766	11.981637	2.2593377	0.027113982	2.3398595	2.1471398	0.0067382003	1.1751713e-06	0.0067420895	0.0067347256	3746.534336566925
38	1839.1974	57.101227	1929.0262	1778.8036	1983.984	134.50595	2244.0347	1789.7325	1000.0	1000.0	151999	155.86874	40.79735	285.75433	50.42989	155.86874	40.796677	287.9082	51.47165	-156.13516	12.304182	2.2605863	0.0263638	2.3373632	2.1666813	0.006738196	1.1142016e-06	0.006742196	0.006734744	3846.3544485569
39	1922.3511	90.50912	2074.345	1843.3606	1836.1332	175.45604	2087.159	1591.4115	1000.0	1000.0	155999	157.28018	40.863914	287.44412	54.256104	157.28027	40.863914	288.95694	54.583855	-157.52577	12.513267	2.2600298	0.026852734	2.3435574	2.153393	0.0067381705	1.0948796e-06	0.00674218	0.006735011	3950.839193582535
