Epoch	AverageTestEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet0	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	alpha	Time
65	164581.14	31608.953	208048.81	127626.86	174561.38	22711.438	210724.83	139436.3	1000.0	1000.0	259999	668.88446	668.8845	-665.3327	178.95583	3.1019647	1.3688359	11822.734632492065
66	177542.19	13674.778	199938.02	163537.97	190165.0	27789.945	222692.6	140893.61	1000.0	1000.0	263999	673.9959	673.9964	-670.5425	181.37466	3.12591	1.3071394	12054.602153778076
67	163913.81	13272.565	173428.47	141074.44	176708.28	18854.1	204806.11	133020.14	1000.0	1000.0	267999	678.9519	678.951	-675.4171	184.69681	3.1499574	1.337762	12286.468292474747
68	184538.75	23211.043	207185.28	153379.78	183455.11	20211.07	230135.02	153315.8	1000.0	1000.0	271999	685.3839	685.38354	-681.71606	188.47556	3.2042565	1.4018307	12516.849576473236
69	189564.95	21476.635	209324.02	157034.75	187930.8	28018.379	218519.95	121892.26	1000.0	1000.0	275999	694.6131	694.61127	-691.0007	193.35817	3.3281274	1.3677541	12748.646020889282
70	176532.31	12680.495	196405.6	162437.62	197604.2	16036.551	223398.64	171306.75	1000.0	1000.0	279999	703.4673	703.4662	-699.92755	200.6929	3.3944995	1.3119159	12984.141857862473
71	181607.83	11501.76	193433.42	163147.1	165750.38	29473.193	200778.66	98837.71	1000.0	1000.0	283999	712.67175	712.6714	-709.0719	209.67189	3.488647	1.3378651	13216.35701584816
72	187345.19	19469.654	220204.4	171694.03	185297.4	31209.004	236036.23	130191.94	1000.0	1000.0	287999	721.78613	721.7856	-718.3587	209.64069	3.564037	1.2671041	13451.968227624893
73	219522.22	16067.511	233556.23	192191.44	176869.47	32068.314	216285.33	125871.555	1000.0	1000.0	291999	729.0986	729.09814	-725.7835	209.01498	3.5796568	1.1936519	13686.653749704361
74	180569.27	30252.191	216386.0	135123.03	190713.22	19720.7	215515.52	157625.77	1000.0	1000.0	295999	736.32074	736.3191	-732.8396	208.09181	3.584119	1.2679524	13919.374797582626
75	185189.12	34595.4	220477.66	129508.234	200954.28	27713.088	244387.31	165405.3	1000.0	1000.0	299999	744.14	744.14105	-740.58734	217.23485	3.6010928	1.284007	14152.27957034111
76	215951.16	12903.639	225692.69	194198.39	193383.16	20358.053	222921.69	147128.72	1000.0	1000.0	303999	750.84595	750.8445	-747.4144	218.64606	3.6271577	1.2241081	14386.594832658768
77	194327.06	19546.754	219104.47	165711.81	201261.8	15512.93	221573.4	171717.02	1000.0	1000.0	307999	755.678	755.6787	-752.1244	225.08253	3.648712	1.2601523	14620.474351167679
78	183793.48	22928.629	222509.12	164313.56	216141.84	19026.092	251118.2	188543.12	1000.0	1000.0	311999	762.5358	762.5352	-758.8306	232.92726	3.6466894	1.2903843	14854.98440861702
79	181461.03	45558.105	226215.45	116463.875	206593.86	27414.06	237844.98	153697.64	1000.0	1000.0	315999	766.4121	766.4117	-762.6627	239.48727	3.6605153	1.296512	15088.172800540924
80	197461.25	20562.73	225308.4	167244.9	203482.78	25037.04	238469.36	161803.14	1000.0	1000.0	319999	770.62915	770.63007	-766.8966	239.80838	3.6587923	1.2645693	15325.097597837448
81	182163.52	6672.2944	189956.0	174989.34	215267.08	29406.996	245636.64	145713.23	1000.0	1000.0	323999	774.62006	774.6212	-770.8217	245.09053	3.673408	1.2992865	15560.17056775093
82	218144.3	18211.84	244745.67	193297.4	203308.44	13556.368	229220.22	180119.06	1000.0	1000.0	327999	777.6652	777.6635	-773.86237	248.22113	3.677265	1.2831281	15795.996166706085
83	214848.06	26701.168	245733.5	182750.58	219522.7	32787.465	253312.17	149685.95	1000.0	1000.0	331999	781.6401	781.64026	-777.68274	258.05768	3.7185323	1.3207245	16029.041935682297
84	213510.3	23574.484	245921.19	190981.67	203413.38	30393.314	256494.42	164473.84	1000.0	1000.0	335999	786.6483	786.6492	-782.6814	266.94214	3.7750947	1.3294058	16264.732401371002
85	188960.48	46660.125	223490.47	109801.89	208678.34	19586.203	246839.42	179045.73	1000.0	1000.0	339999	791.6535	791.6511	-787.7488	265.9698	3.7777567	1.284521	16497.83513712883
86	209305.08	10462.569	226217.39	197910.61	213686.72	21196.826	244736.83	174933.27	1000.0	1000.0	343999	796.0379	796.0371	-792.059	263.87637	3.7927957	1.3073075	16731.56067276001
87	203872.05	24848.223	231025.19	166187.58	217477.84	15855.18	242155.83	184608.48	1000.0	1000.0	347999	799.44586	799.44635	-795.5675	262.72064	3.8548653	1.2551665	16966.252385377884
88	202899.67	30711.432	242362.38	166186.84	226860.62	17361.482	250234.22	201987.56	1000.0	1000.0	351999	803.1572	803.1557	-799.37274	267.4591	3.878492	1.2035247	17200.8775908947
89	214098.3	26488.428	250796.38	180635.66	222896.92	20169.514	256818.88	184652.75	1000.0	1000.0	355999	806.0872	806.0877	-802.236	273.57898	3.9078145	1.2487125	17434.68470454216
90	218595.89	6631.384	228157.19	209719.77	226631.25	18400.137	250711.53	193711.89	1000.0	1000.0	359999	812.9493	812.9488	-809.0904	277.84464	3.9443593	1.2604382	17667.796598672867
91	210707.48	16413.008	234401.8	193229.89	225030.75	22795.326	258035.69	194993.44	1000.0	1000.0	363999	818.17114	818.16974	-814.3453	280.39398	3.961134	1.2153682	17902.63214111328
92	211087.1	20459.08	240231.9	183344.34	211219.1	20674.28	240120.98	183492.14	1000.0	1000.0	367999	822.51056	822.5091	-818.6905	276.97345	3.9861841	1.1946263	18136.6665289402
93	219260.56	7940.289	224969.53	205625.62	228429.05	17001.738	256151.2	209440.55	1000.0	1000.0	371999	826.20966	826.2081	-822.36285	279.11395	3.977627	1.2085187	18369.688594341278
94	191458.17	47552.71	222846.48	109516.94	213479.03	24531.01	244506.5	172122.98	1000.0	1000.0	375999	829.0152	829.0154	-825.0229	279.9382	3.982032	1.2445942	18603.11927628517
95	211423.16	22945.79	242296.4	181936.8	213236.22	31379.896	269653.9	152704.22	1000.0	1000.0	379999	831.9845	831.98505	-828.0615	279.31934	3.9921937	1.2044111	18836.41908144951
96	200477.81	15196.004	219509.81	177186.39	225064.9	20569.725	264112.56	198636.36	1000.0	1000.0	383999	834.5757	834.57294	-830.3447	278.162	3.9957898	1.2871518	19069.330495119095
97	226560.8	28637.145	254601.89	182408.48	227556.05	22167.438	259743.75	198722.2	1000.0	1000.0	387999	836.8428	836.84314	-832.72375	285.32156	3.997313	1.2570163	19303.44399046898
98	224083.38	16548.615	242738.78	199834.33	221723.53	28119.264	258375.25	161901.81	1000.0	1000.0	391999	838.9947	838.99335	-835.14734	278.47644	4.002808	1.1526154	19536.809625148773
99	215228.08	16425.049	240025.8	198205.17	235312.47	9313.753	251780.03	221798.89	1000.0	1000.0	395999	839.07263	839.0716	-835.0549	276.76837	3.9981496	1.1798869	19769.20019054413
100	240129.06	12238.349	254254.4	225315.84	236422.88	21557.94	272779.16	187868.83	1000.0	1000.0	399999	840.3759	840.3751	-836.41425	276.0103	4.0035996	1.1711433	20002.695816278458
101	216538.94	24162.012	246388.92	181579.17	230595.75	19982.22	254391.31	193180.88	1000.0	1000.0	403999	842.39465	842.39453	-838.32526	279.6804	4.001928	1.2188233	20238.41076564789
102	239562.98	16332.085	256868.23	212752.86	234907.66	40277.516	278806.5	119594.664	1000.0	1000.0	407999	845.1365	845.1357	-841.01587	284.08185	3.9975274	1.2227191	20472.011155605316
