Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	mmd_entropy	alpha	Time
77	182977.0	18015.746	202726.61	155462.84	191730.0	14585.412	228419.6	177575.19	1000.0	1000.0	307999	633.26154	633.261	-628.5295	334.02026	3.749227	1.3133446	17946.170923233032
78	180522.27	16567.143	202594.19	157384.52	203379.94	16491.201	229628.84	177481.5	1000.0	1000.0	311999	637.1723	637.1722	-632.60693	332.8147	3.772101	1.2369177	18182.795548677444
79	195639.17	5786.3647	203003.73	187145.88	186842.2	19057.312	214068.14	153091.2	1000.0	1000.0	315999	641.9197	641.91986	-637.318	333.9333	3.809935	1.2414078	18415.25204873085
80	178653.02	3727.5034	183598.97	174196.31	189468.53	18662.37	216557.61	153598.75	1000.0	1000.0	319999	645.713	645.71545	-641.1839	335.79218	3.818351	1.2034907	18646.691901922226
81	200638.88	31696.934	243920.61	169402.08	191847.9	27208.693	236261.67	138357.45	1000.0	1000.0	323999	648.5985	648.59955	-643.97076	339.34912	3.8207355	1.2326556	18881.120902061462
82	199531.5	17890.422	225861.12	175368.73	197430.78	14835.764	214972.7	176021.94	1000.0	1000.0	327999	651.726	651.7288	-646.9254	341.2968	3.8343985	1.2926322	19114.21553850174
83	179950.11	15890.836	198069.94	162815.83	190106.58	16393.18	215924.7	168500.75	1000.0	1000.0	331999	655.9289	655.9295	-651.2684	343.8738	3.8515277	1.2404894	19349.51628923416
84	193918.94	26169.695	222393.52	151658.11	201656.61	15277.074	221606.78	181107.45	1000.0	1000.0	335999	659.552	659.5541	-654.7812	343.76	3.852846	1.2685269	19579.86477637291
85	198855.06	19058.514	219503.77	171535.56	203884.53	16615.111	238630.28	172268.89	1000.0	1000.0	339999	662.92065	662.9218	-658.0621	346.83032	3.8704088	1.2872062	19812.31246161461
86	220639.25	8518.616	234281.38	213102.38	194341.75	20216.072	228906.28	171508.27	1000.0	1000.0	343999	667.72314	667.725	-662.73395	352.65045	3.884834	1.3137736	20045.983423948288
87	191111.81	10785.174	208700.45	179453.45	184441.34	13103.209	204945.12	155093.78	1000.0	1000.0	347999	671.3213	671.3211	-666.58923	347.2473	3.909166	1.2245553	20280.752437591553
88	220701.81	15206.941	246147.14	208279.22	205379.2	22435.426	237543.31	162977.39	1000.0	1000.0	351999	674.85736	674.8603	-669.94885	354.25906	3.9400752	1.2776484	20513.5065369606
89	203811.98	9071.687	219365.61	196682.55	193800.95	31577.156	230060.64	125345.695	1000.0	1000.0	355999	679.8751	679.8749	-675.07587	363.5762	3.963836	1.2466304	20747.574427604675
90	197592.2	7334.7173	208224.83	190400.77	204891.14	25551.861	260172.4	148525.16	1000.0	1000.0	359999	684.19934	684.2013	-679.3106	368.64743	3.957641	1.2590908	20979.795632362366
91	179615.03	6343.7017	190139.94	174174.92	209088.03	16849.582	240989.52	176589.0	1000.0	1000.0	363999	687.81366	687.8136	-682.95337	363.21353	3.9734285	1.2480183	21213.178141117096
92	199939.92	21499.355	218806.56	163420.44	195318.47	12285.652	224224.17	176596.06	1000.0	1000.0	367999	691.2807	691.2824	-686.32635	369.39783	3.9953277	1.2479365	21447.661190986633
93	211222.19	9319.615	222384.66	198187.61	204351.48	18009.193	225023.75	173674.1	1000.0	1000.0	371999	693.3306	693.32947	-688.5662	364.32495	3.998473	1.1960534	21680.769659280777
94	212297.39	18975.58	245098.23	199583.89	218993.17	22603.223	242923.58	164730.83	1000.0	1000.0	375999	695.7086	695.7085	-690.7163	364.14194	3.994774	1.2527015	21914.901267528534
95	203685.72	19632.605	223934.77	177918.69	211245.4	16725.994	235120.53	183031.33	1000.0	1000.0	379999	697.67426	697.6745	-692.88135	364.36356	4.005221	1.199334	22148.29374051094
