Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	$\alpha$	Time
54	144609.4	25938.58	173620.3	112100.23	177375.16	25810.293	212263.11	115091.04	1000.0	1000.0	215999	546.78143	546.7824	-543.3087	189.8988	2.652854	1.37272	10038.699060440063
55	175302.16	16074.59	187626.53	147934.48	169552.7	29251.236	210977.84	111865.69	1000.0	1000.0	219999	554.04254	554.04297	-550.632	194.39993	2.738437	1.3382282	10274.297600030899
56	167996.44	31409.129	189960.17	114201.375	170424.05	24259.639	210034.14	125249.04	1000.0	1000.0	223999	558.50714	558.50684	-555.08594	196.60388	2.73984	1.2902644	10510.597568273544
57	160120.45	30246.117	193448.06	124118.65	164918.66	25835.088	206130.98	107032.805	1000.0	1000.0	227999	562.6564	562.6578	-559.2196	202.08138	2.7492802	1.3201394	10748.696910619736
58	180448.02	27877.76	208838.52	134714.84	163255.4	27684.332	210889.02	123748.68	1000.0	1000.0	231999	567.02405	567.0239	-563.4871	207.64171	2.7522857	1.3350477	10985.993587970734
59	168073.25	36215.68	203724.05	109232.984	180089.25	31260.092	240416.8	136081.7	1000.0	1000.0	235999	571.551	571.55273	-567.8904	210.41328	2.811191	1.3730788	11225.988050937653
60	154500.69	47148.105	201436.05	77513.96	162438.56	34377.645	209062.48	89772.016	1000.0	1000.0	239999	579.0433	579.045	-575.43054	217.32756	2.910499	1.361323	11466.888310909271
61	167830.28	51649.824	235232.11	89962.13	158779.25	39752.324	214985.92	87629.32	1000.0	1000.0	243999	585.8714	585.87213	-582.3388	219.47581	2.9854414	1.3080362	11707.560223817825
62	197400.11	12754.223	219066.42	186688.66	201398.38	37080.133	242021.45	124699.48	1000.0	1000.0	247999	593.57526	593.5755	-589.8804	224.42535	2.9995456	1.3567916	11948.468408346176
63	165407.25	34672.906	221235.62	127742.445	179001.11	21655.906	222725.31	154264.52	1000.0	1000.0	251999	601.64545	601.6459	-597.9386	235.53893	3.0606766	1.3431777	12186.310690641403
64	201900.02	46808.79	246139.52	132555.03	167045.94	23592.135	203724.47	120407.766	1000.0	1000.0	255999	609.17267	609.1744	-605.41315	243.18	3.112648	1.373769	12423.535510540009
65	202532.86	18785.098	229119.89	175989.06	185546.83	33992.836	244507.55	131303.48	1000.0	1000.0	259999	619.57306	619.5735	-616.00616	247.74991	3.1283693	1.3038393	12661.137512683868
66	193805.34	14182.46	210468.52	171519.6	205972.92	31836.818	241668.33	145910.22	1000.0	1000.0	263999	626.5921	626.59296	-622.9078	248.57784	3.1329198	1.3178679	12897.247569799423
67	208697.03	21816.668	235109.56	186901.14	210534.55	28099.979	236138.38	131888.08	1000.0	1000.0	267999	633.47943	633.4788	-629.7854	254.16519	3.1835206	1.3246	13132.710143327713
68	216207.12	14708.959	237050.03	198408.03	193089.23	33661.055	252215.12	124764.26	1000.0	1000.0	271999	644.149	644.1512	-640.3509	260.70212	3.264395	1.3687577	13367.118803977966
69	222923.05	22831.375	246237.58	185062.2	162253.42	33596.023	245719.17	133023.27	1000.0	1000.0	275999	655.2591	655.2595	-651.53064	267.43018	3.3212197	1.3436961	13600.046390771866
70	173899.38	36609.45	225324.25	134558.34	196771.62	26096.611	245732.7	161352.03	1000.0	1000.0	279999	665.0547	665.05664	-661.2896	275.3692	3.3652146	1.3368205	13833.013759851456
71	194482.34	21751.324	222682.22	163878.39	184196.95	36744.06	223540.1	90458.36	1000.0	1000.0	283999	676.0262	676.02686	-672.18024	293.0054	3.4240472	1.382461	14068.207576751709
72	188718.38	16054.117	215611.95	173164.34	189180.5	21138.848	220498.22	157056.11	1000.0	1000.0	287999	689.2504	689.25024	-685.4796	314.29425	3.5408843	1.3707743	14299.40912437439
73	224825.1	9507.367	238808.97	212000.0	204528.08	29236.762	247530.88	144790.34	1000.0	1000.0	291999	701.79034	701.79205	-698.2015	325.7924	3.5805836	1.2846165	14532.14286661148
74	193168.69	37558.406	249988.61	153512.02	197247.53	29858.086	249993.52	138296.58	1000.0	1000.0	295999	712.8762	712.87726	-709.2447	332.004	3.5963302	1.2837783	14766.397813081741
75	204478.33	17166.857	220924.6	181002.89	212153.47	38145.426	249036.55	132334.4	1000.0	1000.0	299999	720.8788	720.8783	-717.1011	342.50638	3.5984411	1.317082	14996.83134317398
76	236030.64	7878.9336	245474.22	225082.05	208174.78	34578.23	246906.39	141735.12	1000.0	1000.0	303999	729.8026	729.803	-725.95264	351.7276	3.6379497	1.3385926	15230.882230997086
77	218693.44	14943.036	234453.75	199016.45	183026.92	40602.016	253030.9	110061.31	1000.0	1000.0	307999	742.0525	742.05414	-738.48987	351.92255	3.7517588	1.2789066	15462.541857242584
78	203888.08	21649.586	235941.77	182763.78	234626.95	42172.156	286763.25	159179.7	1000.0	1000.0	311999	753.4017	753.40106	-749.88403	350.26303	3.7748802	1.2477268	15695.95296049118
79	237357.5	28706.521	265149.16	191267.38	220871.4	26637.227	269059.2	177530.11	1000.0	1000.0	315999	765.955	765.95825	-762.2673	356.6858	3.8046432	1.3256392	15927.044689416885
80	220421.61	36457.336	267698.78	178651.19	231267.92	27776.428	286302.12	179218.77	1000.0	1000.0	319999	777.4241	777.42267	-773.7985	359.06125	3.8634663	1.2691367	16157.15317440033
81	194623.27	28111.73	242412.8	170062.05	193857.42	29889.402	237040.5	130940.14	1000.0	1000.0	323999	786.61475	786.61926	-783.0302	355.91556	3.8899803	1.255482	16389.53774166107
82	198843.12	20785.889	219181.52	164301.92	187680.8	34307.9	238865.0	145919.95	1000.0	1000.0	327999	795.074	795.0736	-791.55817	362.60605	3.8986626	1.2301208	16621.35959005356
83	247828.1	17681.0	266922.38	218935.9	235956.62	27693.375	280483.9	197316.55	1000.0	1000.0	331999	805.3322	805.3341	-801.6585	366.4628	3.9256825	1.2810571	16851.39435696602
84	206341.3	38347.58	260155.67	165580.56	216043.8	39671.78	273809.78	156612.31	1000.0	1000.0	335999	812.8252	812.8259	-809.2638	373.02322	3.922852	1.2445965	17083.350726127625
85	256243.81	15483.132	279858.75	238331.64	224174.12	28078.365	273776.2	163407.33	1000.0	1000.0	339999	821.8125	821.8123	-818.2587	373.03998	3.9289112	1.2386137	17315.5246322155
86	230369.75	17158.664	248052.47	208592.19	245907.4	11755.491	262428.44	223827.97	1000.0	1000.0	343999	827.47406	827.47406	-823.7706	371.20837	3.9316924	1.2522177	17548.056946516037
87	229035.03	46808.21	283100.16	159276.48	243680.83	41884.645	286147.44	161466.23	1000.0	1000.0	347999	833.5921	833.5924	-829.97723	369.7523	3.949257	1.2282722	17779.86726474762
88	245003.12	28434.992	283405.62	215037.69	266971.66	16734.168	298834.5	247229.97	1000.0	1000.0	351999	837.11194	837.11115	-833.53015	380.25113	3.9524555	1.1996864	18013.146109342575
89	266283.7	6473.507	277249.38	260899.58	242289.88	19663.84	273605.0	203392.02	1000.0	1000.0	355999	842.08234	842.0837	-838.4697	385.36182	3.98181	1.1972508	18246.560120344162
90	250193.31	39927.64	286235.62	182709.84	252954.78	24217.797	285979.78	193257.89	1000.0	1000.0	359999	846.4026	846.4042	-842.76196	381.52505	3.9793687	1.1947931	18476.46876502037
