Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	$\alpha$	Stdalpha	Maxalpha	Minalpha	Time
42	141379.22	4909.237	145694.56	133630.11	131290.5	19067.746	154407.17	90796.61	1000.0	1000.0	167999	428.38257	428.3835	-425.1385	84.56965	1.5892346	0.07235098	1.8483673	1.3356705	1.7999997	2.3841858e-07	1.8	1.8	10644.34891462326
43	138687.14	7564.956	149239.44	127846.7	145418.62	21385.309	157991.05	83794.984	1000.0	1000.0	171999	433.78265	433.7837	-430.5112	84.43312	1.5717105	0.07145788	1.8392838	1.3416362	1.7999997	2.3841858e-07	1.8	1.8	10899.52119231224
44	139510.33	7529.814	146385.8	127549.36	122012.766	31015.895	154706.55	84259.336	1000.0	1000.0	175999	440.05112	440.05267	-436.7792	84.48776	1.5913945	0.07419674	1.8725163	1.3399576	1.7999997	2.3841858e-07	1.8	1.8	11156.077937841415
45	143768.83	3819.4976	148411.73	139627.56	153395.62	1887.8303	156972.55	150304.94	1000.0	1000.0	179999	443.88287	443.88348	-440.59192	84.29511	1.5501486	0.076887086	1.799319	1.2918633	1.7999997	2.3841858e-07	1.8	1.8	11413.351865291595
46	140545.1	3194.6904	145990.58	137925.94	146172.6	25025.701	158178.28	72050.34	1000.0	1000.0	183999	447.34372	447.3452	-444.01544	83.49856	1.5557556	0.07130075	1.8178779	1.3314469	1.7999997	2.3841858e-07	1.8	1.8	11669.377100229263
47	139866.7	920.7208	140868.16	138455.95	140574.06	17842.244	154646.03	100699.32	1000.0	1000.0	187999	451.66415	451.66507	-448.3422	82.45819	1.5916028	0.07560269	1.889206	1.3746213	1.7999997	2.3841858e-07	1.8	1.8	11926.168385744095
48	127269.16	19847.605	139103.14	92895.96	131931.28	21247.283	157422.61	100108.98	1000.0	1000.0	191999	455.81305	455.81476	-452.4819	83.668655	1.572743	0.0658552	1.8089733	1.3661785	1.7999997	2.3841858e-07	1.8	1.8	12183.105893850327
49	143358.56	4013.8438	149537.62	139366.28	156549.97	1953.6587	158752.89	153003.17	1000.0	1000.0	195999	459.15176	459.15375	-455.80237	82.05406	1.5812864	0.06889599	1.8386066	1.3764184	1.7999997	2.3841858e-07	1.8	1.8	12440.101644992828
50	143719.17	8033.5127	151156.16	130161.94	153060.28	2912.51	158902.48	147758.17	1000.0	1000.0	199999	463.25293	463.2538	-459.84476	83.51549	1.6159981	0.08312708	1.8936743	1.3497506	1.7999997	2.3841858e-07	1.8	1.8	12695.834334135056
51	141717.95	5358.8237	147150.3	135113.58	154548.22	4370.75	161217.33	145780.1	1000.0	1000.0	203999	467.2694	467.26974	-463.87488	83.8478	1.6063246	0.067873694	1.8940278	1.3898554	1.7999997	2.3841858e-07	1.8	1.8	12947.839871644974
52	145142.98	4153.0537	150093.25	138855.39	158322.5	2417.9578	161953.58	154917.47	1000.0	1000.0	207999	471.2289	471.2312	-467.807	83.75358	1.6129262	0.06623886	1.8513914	1.3992038	1.7999997	2.3841858e-07	1.8	1.8	13199.448183059692
53	144867.5	5980.5312	150870.48	135740.9	153399.44	6160.0547	159722.52	140998.61	1000.0	1000.0	211999	474.7975	474.7989	-471.36435	83.06825	1.6015898	0.069587395	1.8443509	1.3563704	1.7999997	2.3841858e-07	1.8	1.8	13448.620836734772
54	147625.78	3292.49	152135.64	143215.14	151029.95	20348.238	165326.28	90780.01	1000.0	1000.0	215999	478.07025	478.07117	-474.62546	81.037384	1.6226287	0.0719166	1.9078822	1.4089953	1.7999997	2.3841858e-07	1.8	1.8	13697.7486140728
55	146650.9	4058.3923	152765.38	141349.73	156085.36	6473.2607	167429.33	145513.03	1000.0	1000.0	219999	480.57584	480.57623	-477.13303	80.20277	1.5646007	0.06614654	1.7970449	1.3175099	1.7999997	2.3841858e-07	1.8	1.8	13949.091898441315
