Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	alpha	Time
78	192167.5	9908.214	205964.16	179041.16	182566.55	39651.293	218787.27	93544.79	1000.0	1000.0	311999	666.9609	666.9615	-662.5366	285.2122	3.6211493	1.3014559	18368.443951129913
79	177325.56	23969.793	194704.42	136336.7	179419.03	10111.0205	194041.73	164893.6	1000.0	1000.0	315999	671.43225	671.4345	-667.0342	294.86667	3.6275165	1.2725093	18602.92076230049
80	188455.8	7495.695	198751.8	177952.4	191065.77	18659.566	232255.39	164984.39	1000.0	1000.0	319999	675.1592	675.1591	-670.60925	301.6216	3.6311758	1.3078055	18837.49132990837
81	178401.97	6842.435	184790.88	167864.89	185977.31	17336.361	217861.08	159173.8	1000.0	1000.0	323999	679.3075	679.31104	-674.7952	308.64606	3.668539	1.2938168	19071.099624872208
82	178326.73	16585.227	205484.23	162221.66	183430.47	25297.328	219817.34	128030.85	1000.0	1000.0	327999	681.7026	681.70386	-677.3311	302.2094	3.6987183	1.2207285	19306.851659059525
83	177179.84	12058.488	185081.3	156323.17	192493.62	19649.045	224217.69	156396.2	1000.0	1000.0	331999	684.655	684.6537	-680.1533	306.27118	3.704128	1.257472	19541.579624652863
84	175427.39	19164.787	195722.67	145440.31	183877.72	18289.516	216094.58	153341.95	1000.0	1000.0	335999	685.89667	685.8991	-681.3021	304.87552	3.7000337	1.2586958	19773.81428337097
85	205475.48	3382.696	210410.22	201658.66	202317.83	15401.475	224684.95	174006.66	1000.0	1000.0	339999	687.9237	687.9248	-683.4237	304.55524	3.700707	1.2158258	20010.816739082336
86	188045.81	20728.26	217196.81	161830.42	191775.2	9957.559	212918.2	177158.25	1000.0	1000.0	343999	688.13806	688.1392	-683.55347	303.64456	3.7300591	1.2308213	20247.440650224686
87	187709.4	9925.162	203445.38	178143.64	181929.55	26090.8	222245.17	134579.06	1000.0	1000.0	347999	689.42346	689.4243	-684.84314	305.39453	3.7324111	1.2349306	20482.445840120316
88	179637.97	43253.688	215566.6	105778.19	195019.03	25691.992	227150.08	131733.17	1000.0	1000.0	351999	691.22375	691.22485	-686.6251	307.93716	3.7277553	1.2349931	20716.984828472137
89	203909.88	20676.479	225680.72	171923.84	195231.2	18939.812	213456.75	155162.8	1000.0	1000.0	355999	695.5494	695.5487	-690.9763	312.62833	3.7535803	1.2564226	20950.099731445312
90	185556.55	12025.429	203845.11	171445.83	202928.75	17986.262	235466.89	178125.03	1000.0	1000.0	359999	698.94696	698.9478	-694.4963	311.234	3.7628765	1.201908	21185.596333026886
91	194223.2	12754.731	212754.55	177577.78	199984.03	22652.25	235566.9	161205.02	1000.0	1000.0	363999	700.42664	700.4268	-695.7928	307.3701	3.755793	1.2241123	21418.63930797577
92	191183.78	19207.477	223517.78	173038.67	204792.73	15435.74	236042.39	182665.84	1000.0	1000.0	367999	701.4034	701.4035	-696.85614	307.54443	3.7629118	1.1963599	21652.493888616562
93	196157.67	15509.383	213633.22	172548.9	219904.45	22534.654	266931.53	194648.53	1000.0	1000.0	371999	703.4024	703.4019	-698.822	309.6335	3.791628	1.2177192	21888.779006004333
94	203123.33	10131.844	212944.58	187763.06	197429.94	17629.537	218480.12	165497.33	1000.0	1000.0	375999	706.73706	706.7374	-702.2325	317.96024	3.7939854	1.1926256	22125.95862030983
95	196681.48	11244.8125	214523.14	185950.61	196437.47	27706.361	230826.45	125913.7	1000.0	1000.0	379999	708.3738	708.3756	-703.75287	310.63705	3.8038614	1.1929085	22361.66292643547
96	213463.42	11080.537	225755.95	197292.47	210199.05	18376.71	236279.81	166172.0	1000.0	1000.0	383999	709.2266	709.2257	-704.6451	304.26047	3.8063047	1.1909359	22596.256460905075
97	212701.94	20586.262	239838.83	186597.61	212731.12	21686.424	247210.39	175644.48	1000.0	1000.0	387999	711.03394	711.0344	-706.447	304.50763	3.8085473	1.1884507	22829.987498283386
98	210205.33	16059.359	229641.75	192451.27	206893.3	19291.451	239018.53	177454.94	1000.0	1000.0	391999	713.22546	713.22626	-708.5814	305.78647	3.812449	1.1939905	23066.773798942566
99	203199.5	19306.906	226985.33	176607.33	215060.67	7935.3906	228462.61	202521.66	1000.0	1000.0	395999	715.1951	715.19806	-710.63574	303.84436	3.8102112	1.1685348	23303.10643005371
100	207204.33	6157.859	215145.48	198151.94	208033.55	17290.596	235951.64	177295.4	1000.0	1000.0	399999	716.6756	716.6769	-711.852	310.81665	3.8109698	1.2114104	23538.1754655838
101	197029.34	6583.607	207779.92	190963.88	206357.25	17409.97	237785.92	187295.7	1000.0	1000.0	403999	718.6289	718.6295	-713.78503	317.6179	3.8084815	1.2344354	23774.286639928818
102	221780.42	33074.242	256812.17	167686.0	204282.4	13276.926	220330.98	179366.47	1000.0	1000.0	407999	720.54456	720.5465	-715.64264	310.81345	3.812427	1.2426926	24011.798657417297
103	210415.1	6832.14	218169.3	201418.62	200107.83	10889.875	216703.16	183100.9	1000.0	1000.0	411999	723.145	723.1444	-718.15314	322.40314	3.8366108	1.2758689	24249.00185441971
104	211844.62	16371.907	235550.56	190238.61	224403.2	15762.517	250954.58	199569.4	1000.0	1000.0	415999	727.5056	727.50793	-722.7446	335.45496	3.898292	1.1962619	24484.18198275566
105	207932.4	15551.955	226026.42	189434.45	202634.78	17537.73	239412.77	180016.22	1000.0	1000.0	419999	729.48456	729.4854	-724.59485	327.2857	3.9053721	1.211671	24720.657495737076
106	221973.34	19255.504	253633.72	203374.94	206098.84	8616.763	216861.72	190256.25	1000.0	1000.0	423999	733.06085	733.0603	-728.19006	323.0978	3.9136903	1.200751	24958.497942447662
107	211457.42	13408.254	224233.83	188953.56	213270.17	14369.75	225181.7	176876.42	1000.0	1000.0	427999	736.25793	736.26074	-731.3435	328.06747	3.9255962	1.218019	25195.0296792984
108	210582.0	27887.277	248356.78	170238.2	213967.58	18852.69	238641.64	175661.95	1000.0	1000.0	431999	739.1529	739.15234	-734.2243	324.4047	3.92854	1.2145375	25429.92893886566
109	221146.22	21409.111	252644.36	192648.0	211883.42	11494.348	221464.27	186998.78	1000.0	1000.0	435999	742.53754	742.53784	-737.772	317.51334	3.9400864	1.1684468	25663.74804496765
110	210818.31	13585.495	234336.88	202272.47	208635.84	10335.33	226110.3	192819.19	1000.0	1000.0	439999	745.7083	745.71136	-740.7379	319.5557	3.9495184	1.2109473	25897.916541337967
111	216737.89	3390.0474	221997.17	212740.17	213994.83	16098.943	238786.9	172797.78	1000.0	1000.0	443999	749.2113	749.2105	-744.4782	325.90573	3.9753945	1.1539731	26129.86893081665
112	213799.86	16820.162	232984.06	188996.62	210936.47	13532.198	227749.47	188136.55	1000.0	1000.0	447999	751.25446	751.2547	-746.4857	330.04712	3.9850967	1.1547788	26363.471304893494
113	198852.55	18711.018	222219.84	171028.67	210081.7	10585.693	228265.72	193969.8	1000.0	1000.0	451999	752.8332	752.8358	-748.02374	329.918	4.0009446	1.1498684	26600.915059804916
114	209982.67	26490.379	243747.92	177575.73	234014.34	10015.007	256319.77	221666.64	1000.0	1000.0	455999	755.314	755.31287	-750.35065	332.20233	3.9957242	1.1977173	26834.144299268723
115	220603.05	21624.543	247846.56	195436.1	213076.16	32856.09	243291.2	120415.2	1000.0	1000.0	459999	758.12024	758.1205	-753.1614	331.17438	4.0067596	1.183148	27068.352419614792
116	236256.16	5089.4556	244366.73	230459.86	215764.53	18484.387	251153.03	189440.2	1000.0	1000.0	463999	759.0026	759.0029	-754.16284	330.8215	3.9959645	1.1422373	27302.408845186234
117	201147.31	12769.535	214381.53	187691.8	212799.03	6305.7563	221420.34	204612.8	1000.0	1000.0	467999	761.3965	761.3984	-756.26245	333.3262	3.9997106	1.222174	27533.264999628067
118	216606.69	14184.801	238218.5	201480.03	221336.88	23286.412	260783.11	186709.8	1000.0	1000.0	471999	763.5769	763.5769	-758.41473	332.70187	3.9950864	1.2271358	27767.118988990784
119	240232.11	4340.0605	244817.02	233447.94	215666.7	14944.5205	244415.03	193488.98	1000.0	1000.0	475999	765.1609	765.1621	-760.00494	327.30106	4.0045066	1.2120762	27999.37713575363
120	227215.83	7799.9175	236798.0	215503.8	223828.03	28813.568	260552.56	157649.36	1000.0	1000.0	479999	766.3468	766.3476	-761.2273	327.7058	3.9928951	1.2006973	28231.282089710236
121	224682.5	11182.779	240551.03	208973.2	221384.34	17610.773	252451.6	201913.17	1000.0	1000.0	483999	768.13715	768.13776	-762.986	337.48795	3.9992723	1.2077261	28465.98969578743
122	221305.81	16980.502	240029.3	194708.08	209677.36	34282.133	245817.12	116276.14	1000.0	1000.0	487999	769.1724	769.1722	-763.83624	337.59128	4.0100408	1.2406652	28700.97287774086
123	217509.73	18347.547	234433.45	186512.23	230966.42	17475.482	264480.16	197128.56	1000.0	1000.0	491999	768.9711	768.9724	-763.9057	335.22604	3.9924302	1.1530349	28933.109904766083
124	244980.03	14359.272	266640.28	226278.9	216930.92	18231.947	250059.69	190991.34	1000.0	1000.0	495999	769.0624	769.0636	-763.84235	333.41498	3.996338	1.1944026	29166.640627145767
125	225349.58	19599.053	249203.47	199830.95	214936.34	36850.09	255113.73	121188.48	1000.0	1000.0	499999	771.1287	771.12897	-765.9723	331.9532	4.0080547	1.1846817	29401.582148075104
