Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	Averagealpha	Stdalpha	Maxalpha	Minalpha	Time
36	3895.2314	22.526634	3916.812	3864.449	4113.6226	50.384968	4208.049	4042.7566	1000.0	1000.0	143999	332.11087	332.11072	-331.4115	13.391805	0.8199392	0.041561726	0.96629417	0.6693166	1.4641333	0.033850238	1.5484512	1.3791963	2971.4828555583954
37	3915.8455	86.151146	4062.4502	3850.506	4245.376	67.002846	4399.79	4137.92	1000.0	1000.0	147999	335.257	335.25677	-334.5433	13.565559	0.82033485	0.040718332	0.96103424	0.68651235	1.4788952	0.041788857	1.5822669	1.3987476	3054.23663687706
38	3936.5378	91.60674	4003.7612	3780.5938	4247.171	64.34226	4399.995	4133.3506	1000.0	1000.0	151999	338.42123	338.4212	-337.67255	14.07157	0.82009214	0.04192112	0.9753146	0.68909687	1.5165198	0.041721266	1.5954499	1.4156047	3137.659911632538
39	3947.9238	107.630806	4102.8755	3816.6384	4241.053	65.22913	4348.5796	4155.5635	1000.0	1000.0	155999	341.0784	341.0783	-340.32416	14.169858	0.8200171	0.04000604	0.9899912	0.7013201	1.5096811	0.032172117	1.5835387	1.4230722	3223.5518221855164
40	3948.487	43.075314	3992.3691	3887.1453	4173.934	70.186035	4314.151	4077.7046	1000.0	1000.0	159999	343.71857	343.7183	-342.9527	14.270178	0.81955177	0.041498683	0.97298074	0.6597097	1.5149807	0.030214084	1.5877595	1.4394478	3307.7349078655243
41	4007.1936	141.46936	4233.269	3848.3025	4263.0977	69.75742	4340.524	4158.693	1000.0	1000.0	163999	346.32367	346.32367	-345.53256	14.378853	0.82105774	0.041721586	1.011278	0.68172807	1.523862	0.039595865	1.6127259	1.4194647	3389.631692647934
42	4044.438	31.475424	4094.2703	4007.8518	4097.792	677.4077	4414.5615	2070.4224	1000.0	1000.0	167999	348.7404	348.7404	-347.95776	14.397613	0.82933813	0.04082608	0.9885437	0.6927553	1.5204726	0.027537562	1.6120709	1.4467562	3471.628086566925
43	4015.5894	73.93917	4098.9565	3897.8933	4330.1245	79.58385	4452.285	4218.5825	1000.0	1000.0	171999	350.9966	350.9965	-350.19598	14.220191	0.82996416	0.04120058	1.000025	0.6864387	1.5196226	0.032117773	1.6004465	1.4506075	3554.0672509670258
44	3983.0405	105.11133	4099.7563	3869.8152	4083.6133	1124.1299	4599.0376	716.7879	1000.0	1000.0	175999	353.494	353.49387	-352.707	14.652581	0.84320855	0.04261739	0.99376976	0.7054405	1.512308	0.03155497	1.6186975	1.4427556	3636.6268734931946
45	4056.1094	79.20731	4169.736	3948.8147	4351.2915	50.558617	4412.803	4261.937	1000.0	1000.0	179999	356.3714	356.37143	-355.57455	14.824554	0.8490406	0.041396607	0.9940073	0.685542	1.5051167	0.040224347	1.598567	1.4140526	3719.8619980812073
46	4077.962	43.273487	4136.0435	4017.0337	4388.0557	64.68239	4536.566	4296.1387	1000.0	1000.0	183999	358.50433	358.5042	-357.70297	14.883635	0.8508719	0.043196734	0.9928236	0.7022822	1.5088278	0.03239638	1.5957274	1.426243	3803.610082626343
47	3998.7566	136.30075	4171.2803	3860.2463	4446.3945	77.74512	4583.6484	4326.039	1000.0	1000.0	187999	360.89627	360.89612	-360.05917	15.13714	0.85635304	0.043530077	1.0176541	0.70523566	1.5347029	0.03385759	1.6216898	1.4518594	3887.105966567993
48	4095.4673	59.42129	4140.268	3994.8154	4451.3813	65.18186	4561.501	4345.79	1000.0	1000.0	191999	363.47617	363.47604	-362.677	14.827777	0.8700027	0.044424314	1.0266858	0.71885616	1.480968	0.045680914	1.609816	1.3611221	3971.5214233398438
49	4170.035	113.82732	4346.2046	4051.361	4520.665	61.716015	4623.2627	4391.6055	1000.0	1000.0	195999	365.86392	365.86383	-365.06946	14.99989	0.8699486	0.042427626	1.0130163	0.72885066	1.4727917	0.03147467	1.5508239	1.3987156	4054.3411428928375
