Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	Averagealpha	Stdalpha	Maxalpha	Minalpha	Time
43	1660.0681	871.875	3605.69	497.0595	1820.695	1115.6702	4734.351	718.7473	309.6154	341.7	171999	296.9913	296.9914	-293.69736	180.48012	4.0008135	0.07680577	4.258364	3.687481	1.3130096	0.03872411	1.406434	1.240971	10347.97028541565
44	1950.5476	1088.5198	4563.1763	646.53546	1252.8215	594.28467	2525.9524	505.98926	363.4	238.9	175999	299.5786	299.58054	-296.13547	181.83728	3.9998467	0.08370178	4.2646694	3.6861274	1.3300061	0.05625185	1.4358077	1.2022895	10587.531304597855
45	1458.2968	1202.5906	3944.9023	283.4379	1526.0732	580.5332	2515.858	781.88916	273.33334	287.0	179999	300.80154	300.80405	-297.4018	181.45406	3.997925	0.079007484	4.2863173	3.7144156	1.3055228	0.038538497	1.3918784	1.2129152	10830.327813148499
46	1919.0411	1465.3369	5354.2085	368.86932	1290.7522	650.12274	2792.5986	474.41275	362.45456	250.3	183999	301.92957	301.9308	-298.55237	177.55925	4.001835	0.07999818	4.296019	3.697259	1.2656187	0.042958554	1.3859457	1.1734954	11072.61562538147
47	1899.3833	1386.2404	5431.673	423.20706	2407.1235	1175.964	5134.1094	1087.5746	362.36365	458.1	187999	303.5686	303.5696	-300.15353	179.26178	3.9994922	0.0782685	4.289523	3.695238	1.2709727	0.040726975	1.354605	1.1511737	11314.387486219406
48	1552.8275	780.70667	2819.5251	460.478	2057.8408	1255.9468	3815.5354	270.80933	302.57144	385.1	191999	305.62253	305.62344	-302.21756	177.78714	4.0000253	0.07732995	4.2625475	3.6828496	1.2605891	0.036886867	1.352765	1.1724553	11556.544404268265
49	1810.3556	1687.7136	4944.2646	302.29703	1489.9457	1289.6685	4954.9775	456.69025	347.75	312.6	195999	307.54437	307.54553	-304.077	177.07544	3.9995487	0.07761383	4.249937	3.658711	1.282637	0.050290696	1.4508685	1.1568614	11796.84515094757
50	1669.7446	1234.3474	5119.2715	254.35773	2785.3384	1555.0265	5428.457	648.9979	332.63635	516.1	199999	309.43915	309.44272	-305.98938	175.55147	3.9988272	0.083349526	4.266182	3.6947463	1.2650123	0.058906388	1.3975711	1.1500198	12038.90777850151
51	1689.1925	840.13434	3405.0989	510.3353	1547.7269	891.9957	3559.5688	314.98788	319.53845	291.1	203999	309.70175	309.70306	-306.406	172.77798	3.9995182	0.082448624	4.272043	3.6828964	1.1920063	0.053554926	1.3114253	1.0684713	12279.738388061523
52	1516.5966	743.9932	2829.2878	453.22324	1916.2269	1849.2043	5460.231	521.9869	277.57144	360.9	207999	310.4628	310.46423	-307.06155	172.05579	3.999972	0.0831167	4.3404446	3.710341	1.1871594	0.048581254	1.3271738	1.0726265	12518.178871631622
53	1714.0469	929.13873	3283.1516	547.64716	1420.206	639.1451	2530.768	478.9258	318.25	268.5	211999	311.18265	311.18457	-307.84988	172.57037	3.9997878	0.08310945	4.260791	3.7108614	1.1682397	0.05569619	1.2934114	1.041146	12758.246952056885
54	2561.7158	1482.3217	5286.115	499.6992	3003.5981	1447.3173	5516.463	447.97443	479.22223	556.2	215999	313.08725	313.0873	-309.7475	171.29594	3.999403	0.08177741	4.3036423	3.7142446	1.1708272	0.05570214	1.2910241	1.0553728	13000.199294805527
55	2436.4634	1393.4161	5210.0024	1084.3213	3102.5715	1663.0314	5548.2104	837.1744	459.22223	600.0	219999	315.6308	315.62915	-312.31097	173.49979	4.000017	0.08127073	4.2694387	3.7185504	1.1600877	0.048617985	1.2906586	1.0263329	13243.572706222534
56	1903.2937	1153.2798	4485.164	280.3909	2564.0444	1632.733	5479.5522	713.5504	363.72726	472.3	223999	317.10468	317.10727	-313.76175	173.5893	4.0004134	0.07576161	4.256112	3.7090101	1.1416699	0.049367275	1.228282	1.0270214	13484.993335723877
57	1968.2347	1173.8116	4560.9683	363.35107	1351.4072	807.51355	3353.6658	435.91913	369.27274	258.5	227999	318.4929	318.49417	-315.102	174.6318	3.9985225	0.078652695	4.2799196	3.7253335	1.1465504	0.040394172	1.2413859	1.0432758	13725.608414888382
58	2327.4893	1129.0391	4810.538	1068.4127	2142.1335	1360.3	5505.744	774.1704	435.875	385.0	231999	320.1415	320.14197	-316.74683	171.44794	4.001579	0.08381452	4.3082566	3.6888762	1.1422329	0.052760467	1.2535352	1.0342969	13965.730651855469
59	1822.6118	1390.0859	5442.4697	564.3127	2382.7598	1430.2445	5515.519	957.8464	342.23077	441.8	235999	321.36172	321.36325	-318.00436	169.37962	3.9787068	0.08904171	4.3454266	3.6559746	1.1432106	0.07763984	1.3540812	0.95631236	14205.576972961426
60	2481.1455	1582.6997	5490.983	1116.5481	2869.4807	1850.9269	6006.842	497.52966	446.55554	521.0	239999	321.51007	321.50934	-318.0348	164.57234	3.9475536	0.08846836	4.223482	3.63052	1.1522424	0.070418134	1.2892784	0.9909755	14449.028009414673
61	4817.5996	1092.7872	5641.1035	2936.4734	1391.3077	913.8512	2933.1016	214.12474	878.5	256.9	243999	321.2748	321.27585	-317.91528	163.08353	3.9412823	0.075673476	4.191806	3.6829686	1.1026828	0.03423573	1.2052993	1.013236	14689.214254617691
62	2579.2407	1901.0424	5531.5967	227.46529	2767.3901	1675.9161	5407.7427	311.968	467.33334	511.8	247999	322.5584	322.55878	-319.1822	161.25154	3.939565	0.077752925	4.18615	3.6645029	1.1248405	0.038851287	1.2251539	1.027683	14930.426508426666
63	1864.0367	1783.1401	5472.9946	369.32538	3059.768	1370.3524	5633.8213	1340.4388	355.45456	540.8	251999	324.24255	324.24258	-320.90143	158.95041	3.9386723	0.07685026	4.2445126	3.6846416	1.0955533	0.04513051	1.1858808	0.96376014	15175.091812372208
64	2214.6133	1486.7113	5592.7607	913.4421	1890.6584	851.23663	3048.5486	561.5104	400.81818	333.3	255999	325.49707	325.49725	-322.07205	162.40372	3.9024215	0.08478383	4.2219286	3.630271	1.1081413	0.054396566	1.2811748	0.9912814	15419.657454252243
65	2212.786	1520.4918	4997.526	323.51602	2538.5093	1401.4792	5811.0503	679.7265	388.8889	447.9	259999	326.88995	326.8906	-323.40912	159.07484	3.890623	0.08312688	4.1471047	3.585272	1.1305859	0.06839043	1.3281211	1.0175254	15661.728790521622
66	2335.2617	1501.3295	5922.7896	1016.96906	2354.186	1410.4209	5606.3965	701.29785	408.8	411.7	263999	326.56024	326.56058	-323.13235	155.95657	3.8531804	0.09272637	4.1509275	3.5291822	1.1043483	0.06787184	1.2511091	0.95809674	15900.60558462143
67	2633.3389	1385.63	5202.2964	1032.9238	2320.7122	1110.484	4623.067	270.98715	462.66666	393.2	267999	326.12503	326.1273	-322.60165	156.68823	3.808307	0.08723397	4.0956817	3.5294979	1.1209182	0.06260303	1.2440661	0.99195987	16139.042026519775
