Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
57	2110.1294	240.90414	2337.5623	1733.4115	2099.319	358.1856	2696.0447	1198.6464	1000.0	1000.0	227999	221.9176	50.910862	472.204	-0.16433632	-223.36728	19.610254	2486.4092621803284
58	2247.487	194.32967	2458.305	2019.2231	2302.7542	204.81491	2678.3604	1935.5596	1000.0	1000.0	231999	221.7137	52.335236	479.77383	3.0093904	-223.09718	19.603102	2529.809149980545
59	1913.5352	69.11637	2023.3325	1853.8212	2028.4167	91.90319	2161.2258	1870.8662	1000.0	1000.0	235999	221.25111	52.995483	480.43085	18.92131	-222.67734	20.18189	2573.662171125412
60	1703.9292	262.40002	2091.135	1354.0175	1730.7283	49.131134	1841.7899	1668.8376	1000.0	1000.0	239999	222.20218	52.507748	498.86734	-0.30259895	-223.67538	20.668852	2617.31463265419
61	2103.698	87.01041	2250.907	2036.7523	2160.0435	219.4238	2519.6045	1756.3048	1000.0	1000.0	243999	223.62132	52.547424	545.9421	-8.87797	-225.07565	20.42806	2661.02964758873
62	2025.0293	82.31797	2107.9348	1893.7162	1866.2766	430.05936	2256.7983	641.39404	1000.0	1000.0	247999	225.33813	52.85569	550.83954	-37.769596	-226.77107	20.815493	2704.7080125808716
63	2172.7437	140.89748	2341.6206	1977.6753	1733.7527	181.53345	2077.18	1505.8375	1000.0	1000.0	251999	226.67844	53.509438	550.095	-30.25962	-228.14406	21.328032	2748.2153837680817
64	2029.9583	302.39438	2422.755	1697.4729	2300.8123	84.82685	2411.697	2114.2734	1000.0	1000.0	255999	228.51949	53.87534	546.82275	16.032658	-230.02237	21.181063	2791.854771375656
65	2204.616	178.26074	2385.3323	1908.3641	2442.4517	103.45139	2625.887	2331.9724	1000.0	1000.0	259999	230.16496	53.618237	571.4953	-3.9412396	-231.58595	21.455694	2835.1922483444214
66	2085.1191	79.77044	2217.6484	2010.7626	2081.151	191.04155	2353.3591	1794.1803	1000.0	1000.0	263999	230.61111	53.617775	599.0711	1.4976068	-232.00543	20.771553	2878.914760351181
67	2156.8708	158.71732	2393.891	1982.587	2330.1523	182.82953	2582.272	2001.3853	1000.0	1000.0	267999	231.78773	53.985783	587.6376	-24.500477	-233.21303	21.68224	2922.6528482437134
68	2250.3074	60.013405	2330.696	2173.1477	2087.7466	444.21286	2723.4229	981.3984	1000.0	1000.0	271999	233.62794	53.86924	589.3709	-67.76344	-235.09091	21.652075	2966.2776942253113
69	2397.852	99.101974	2509.7456	2278.782	2343.2385	96.71832	2598.198	2216.1626	1000.0	1000.0	275999	235.12885	53.576878	569.71124	-1.2814395	-236.52744	20.653294	3010.128385782242
70	2353.1125	127.28424	2452.0725	2138.752	2225.4136	105.45827	2432.551	2074.3955	1000.0	1000.0	279999	236.25848	55.050102	594.15765	-0.2918359	-237.62646	21.259716	3053.748235464096
71	2297.4219	94.43393	2404.1199	2147.9182	2209.7622	179.80081	2514.22	1937.6088	1000.0	1000.0	283999	237.6142	55.47889	569.43365	1.3039062	-239.0457	21.2927	3097.3174889087677
72	1992.2012	122.13287	2121.6301	1837.8926	2133.5347	81.996635	2277.8252	2047.6008	1000.0	1000.0	287999	238.2852	54.738247	558.0523	-3.368462	-239.60284	19.72225	3140.9514894485474
73	2177.4265	71.07291	2268.911	2093.8147	2126.7324	146.62274	2318.9126	1829.3478	1000.0	1000.0	291999	237.24165	55.371193	530.12415	4.724891	-238.51347	19.86107	3184.644053697586
74	1717.1862	510.08243	2073.4558	836.6722	1842.8135	191.75406	2177.3508	1570.0242	1000.0	1000.0	295999	237.11488	55.91799	541.7194	-3.2295704	-238.45447	19.739067	3228.313712835312
75	2220.0232	200.92006	2509.9685	2012.0715	2140.9292	281.97867	2478.518	1590.351	1000.0	1000.0	299999	238.8415	56.110424	551.90027	-9.559785	-240.22781	20.140057	3272.2521617412567
76	2232.2031	121.155945	2369.983	2094.6812	2207.744	166.04709	2571.4878	2018.7766	1000.0	1000.0	303999	240.25296	55.970238	548.5064	-25.074661	-241.66322	20.109104	3315.9738194942474
77	2280.6885	152.3957	2431.6362	2026.4404	2295.1501	125.668236	2437.2107	1975.1323	1000.0	1000.0	307999	242.25867	56.355484	569.01416	-17.781712	-243.62813	20.195984	3359.6035902500153
78	2093.1333	205.66316	2423.398	1859.3359	2077.5767	104.42696	2259.3486	1877.667	1000.0	1000.0	311999	242.77467	57.477173	576.679	-9.438956	-244.10861	19.712332	3403.2869188785553
79	2129.7556	95.53392	2231.0383	2024.8033	2309.568	188.79803	2572.7659	1949.8245	1000.0	1000.0	315999	242.97954	58.270153	579.12134	1.4317337	-244.28229	20.289827	3446.9613494873047
80	2265.8384	155.14493	2491.6172	2053.1963	2384.6304	70.57071	2515.212	2253.475	1000.0	1000.0	319999	243.21973	58.78906	592.6113	9.400938	-244.51443	20.365189	3490.618950366974
81	2348.742	255.19553	2771.9211	2088.4897	2513.7207	393.37018	3155.1064	1953.1707	1000.0	1000.0	323999	243.51624	59.17753	613.71466	-58.55105	-244.80388	20.55552	3534.202643632889
82	2419.173	309.7271	2886.7	2099.4922	2449.3035	172.22786	2762.3354	2136.1475	1000.0	1000.0	327999	243.62804	59.822105	556.42346	-71.895905	-244.82983	20.649275	3577.934364795685
83	2166.404	199.8956	2464.719	1931.402	2006.0085	271.176	2375.3994	1511.1796	1000.0	1000.0	331999	242.59798	59.229046	554.6878	-71.56792	-243.8058	20.095133	3621.6123995780945
