Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	Averagealpha	Stdalpha	Maxalpha	Minalpha	Time
33	2507.099	196.59294	2792.3083	2294.4453	2388.5337	112.34983	2536.8508	2077.587	1000.0	1000.0	131999	170.72842	170.72845	-170.5068	6.381981	1.6999983	0.046651974	1.8682133	1.5483035	0.42231828	0.026356371	0.5105789	0.37793007	3007.9846229553223
34	2309.5154	578.53265	2726.0493	1315.0406	2332.4329	109.98605	2486.147	2090.0627	1000.0	1000.0	135999	174.8462	174.84631	-174.67813	6.665902	1.6977758	0.049199577	1.9131216	1.5316061	0.39823067	0.026765857	0.4503743	0.33908173	3100.110642671585
35	2922.392	181.75554	3106.2888	2682.9404	2671.1128	112.74107	2821.189	2386.1592	1000.0	1000.0	139999	178.46207	178.46216	-178.32935	7.0299315	1.7004943	0.05021897	1.915326	1.5104989	0.35342333	0.017736055	0.40947393	0.3187242	3192.2313418388367
36	3032.8484	66.745026	3114.587	2949.4097	3368.2827	9.768192	3390.5144	3355.7703	1000.0	1000.0	143999	182.21346	182.21368	-182.06	7.24618	1.7003198	0.048736643	1.9229515	1.5095328	0.366856	0.026721975	0.42292866	0.30347177	3283.7290148735046
37	2980.0286	130.27165	3111.5356	2784.2534	3045.775	109.373604	3229.788	2871.3594	1000.0	1000.0	147999	186.49492	186.49498	-186.33026	7.469313	1.7002944	0.048058692	1.8657007	1.5310066	0.3995062	0.019481234	0.44102925	0.36213502	3375.3919410705566
38	2933.2031	120.95466	3122.5603	2794.2202	2743.7263	186.44498	2936.3293	2386.386	1000.0	1000.0	151999	191.1522	191.15224	-191.03978	7.547401	1.6994582	0.04745222	1.8680282	1.53285	0.3829046	0.017611176	0.4309127	0.35366094	3467.0689191818237
39	2907.9956	99.094376	3020.8948	2804.311	3367.148	4.642471	3374.2942	3357.5762	1000.0	1000.0	155999	195.78381	195.78392	-195.67212	7.886264	1.7006011	0.049992867	1.8889412	1.4667746	0.36814997	0.018659437	0.42098582	0.31975618	3558.7472846508026
40	3065.8545	39.744106	3132.6313	3032.704	3192.2385	112.604095	3413.3086	3013.943	1000.0	1000.0	159999	199.98602	199.98618	-199.85454	7.9939413	1.6986883	0.04712128	1.8952948	1.5074744	0.3756433	0.017964363	0.41734475	0.33538002	3650.4489691257477
41	2848.5723	105.079544	2978.6008	2720.7412	3040.631	15.745691	3079.0217	3017.7197	1000.0	1000.0	163999	204.03488	204.03494	-203.90607	8.085156	1.7015108	0.04727876	1.8593998	1.5169375	0.3785867	0.028035901	0.4501029	0.32998186	3742.1556713581085
42	3015.2285	154.56827	3161.3462	2797.3833	2925.0288	120.42566	3155.846	2670.5835	1000.0	1000.0	167999	207.67746	207.6775	-207.49539	8.2866745	1.6988113	0.05059542	1.8842713	1.5216453	0.40896866	0.029768772	0.48901698	0.35290578	3834.2384407520294
43	2788.952	210.98135	3092.1396	2495.568	3236.7317	166.6777	3479.8643	2930.153	1000.0	1000.0	171999	211.25526	211.2551	-211.07472	8.47825	1.7013522	0.049901564	1.8802627	1.5397499	0.4024738	0.02258744	0.44410244	0.35289052	3927.1315398216248
44	2971.8362	185.72221	3235.992	2711.546	3174.918	212.46965	3364.1035	2649.7307	1000.0	1000.0	175999	213.84216	213.84258	-213.6774	8.525951	1.7017776	0.050652158	1.8932066	1.4569952	0.3996748	0.018749874	0.46496898	0.37165883	4018.841792821884
45	3051.1401	120.47943	3213.672	2874.0007	2838.1174	96.53335	3007.6904	2686.8613	1000.0	1000.0	179999	218.00134	218.0012	-217.81796	8.472497	1.7003696	0.052063365	1.871316	1.525967	0.424544	0.025909033	0.47670293	0.36550158	4111.022876739502
46	3211.5752	94.74529	3352.895	3091.7688	3457.9148	3.3189077	3463.1082	3451.5981	1000.0	1000.0	183999	221.25504	221.255	-221.05103	8.356558	1.6991267	0.051551368	1.8717159	1.5010381	0.41001555	0.031305294	0.46956822	0.34603015	4202.645658016205
47	3254.3438	86.59971	3360.3398	3155.3699	3566.291	27.051533	3644.65	3550.5554	1000.0	1000.0	187999	224.43787	224.43771	-224.24763	8.445147	1.6990298	0.051646434	1.9272768	1.5262971	0.39488417	0.033108238	0.4719221	0.3517815	4294.249229669571
48	3147.8389	117.04225	3298.9119	2970.7039	3389.6465	6.214455	3400.2622	3381.123	1000.0	1000.0	191999	227.15924	227.1589	-226.9361	8.450209	1.7014335	0.05096762	1.8807323	1.4949387	0.41018417	0.020090543	0.4582778	0.37136015	4385.944314002991
49	2970.1936	82.76036	3056.1816	2875.7527	3149.9482	172.81345	3353.979	2886.2375	1000.0	1000.0	195999	230.16722	230.1673	-229.99342	8.5343075	1.6969327	0.051174838	1.9063021	1.5141624	0.3975021	0.023601059	0.47074816	0.35633153	4477.377638101578
50	3158.5432	86.04677	3279.1936	3070.1096	3030.1738	124.46601	3206.118	2742.8787	1000.0	1000.0	199999	232.61	232.60994	-232.42038	8.841654	1.6998707	0.052785516	1.9496576	1.533794	0.38854414	0.021309994	0.4317153	0.3434097	4569.513039588928
