Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	Averagealpha	Stdalpha	Maxalpha	Minalpha	Time
50	1584.6514	369.65372	1929.4242	961.88586	1647.651	142.31337	1847.9965	1341.5386	1000.0	1000.0	199999	105.5626	105.56187	-104.47088	18.881836	1.6695706	0.06553677	1.9087815	1.430148	0.95117605	0.034996532	1.0536168	0.8723327	4757.732976675034
51	1872.1555	118.16863	2057.9834	1729.7507	1730.3281	110.344955	1855.6808	1529.1613	1000.0	1000.0	203999	108.37547	108.37489	-107.26733	18.446613	1.6709807	0.06376748	1.9103556	1.400697	0.975512	0.033057798	1.0607252	0.9122305	4853.433599233627
52	1653.1757	543.8346	2135.5303	781.9899	1532.3248	247.16986	1883.4164	967.5199	1000.0	1000.0	207999	110.88184	110.88201	-109.77657	18.370935	1.6685085	0.06866918	1.9045014	1.3916905	0.98413587	0.044685774	1.0850729	0.8997253	4949.547739982605
53	1943.4116	72.64009	2069.139	1897.9441	1799.4319	94.81789	1919.0868	1654.0984	1000.0	1000.0	211999	113.18831	113.18797	-112.116615	18.225937	1.6702965	0.06650589	1.9273646	1.4562849	0.9523049	0.032982208	1.0374423	0.8919972	5045.199544668198
54	1992.8483	141.64319	2201.0952	1836.3141	2255.301	297.5332	2833.261	1857.1472	1000.0	1000.0	215999	115.65393	115.65332	-114.6517	18.084179	1.669315	0.06729412	1.8970442	1.4292035	0.93216443	0.044877738	1.0319872	0.82173246	5140.629791498184
55	1897.9585	244.1503	2296.7395	1685.9891	2253.825	50.856808	2326.1946	2149.77	1000.0	1000.0	219999	119.32275	119.32274	-118.2835	18.33961	1.6712937	0.06459386	1.8770422	1.4505036	0.99416965	0.03131989	1.0761156	0.91279095	5236.263963460922
56	1542.529	552.9989	2193.2742	763.4023	2275.0298	57.655525	2371.2007	2182.148	1000.0	1000.0	223999	122.76729	122.76698	-121.76948	18.30275	1.6678972	0.061035883	1.9050758	1.4431846	0.9392406	0.039826963	1.0320737	0.85923624	5332.175895452499
57	1822.7202	370.63763	2141.2764	1212.3992	2272.0688	48.913536	2368.097	2195.0125	1000.0	1000.0	227999	125.06419	125.06422	-124.08064	18.15838	1.6727393	0.06715033	1.9082264	1.4526021	0.92894274	0.0295255	1.0148424	0.86332726	5428.51672244072
58	2116.9023	217.58737	2377.3826	1899.7917	2465.8884	179.42702	2704.3936	2024.452	1000.0	1000.0	231999	127.79864	127.79838	-126.73354	18.969826	1.66923	0.06664643	1.9347649	1.3918284	0.9941941	0.03607067	1.0637748	0.91611856	5524.46470284462
59	2253.6543	85.501045	2338.2942	2114.6714	2625.4878	153.82828	2986.6746	2381.0212	1000.0	1000.0	235999	130.48524	130.48491	-129.38783	19.426949	1.672218	0.06845387	1.9275522	1.427787	1.0134109	0.034498364	1.0979929	0.9417432	5618.613523244858
60	2501.4175	190.79909	2790.9546	2255.089	1569.8464	757.11255	2223.9897	-4.506384	1000.0	1000.0	239999	133.33488	133.3345	-132.20956	19.719547	1.6680669	0.0619865	1.8853674	1.4664642	1.0137998	0.037850216	1.13111	0.95219547	5714.168213129044
61	2140.7937	386.2247	2641.7295	1634.6277	2887.376	185.61583	3192.0227	2585.3967	1000.0	1000.0	243999	135.72044	135.71991	-134.59077	19.901505	1.6702971	0.065153554	1.8939769	1.4370966	1.029622	0.04438273	1.1716045	0.9116557	5811.263220787048
62	2378.629	131.95685	2536.6587	2230.1816	2712.8281	160.94022	3051.9978	2494.2268	1000.0	1000.0	247999	138.117	138.1169	-137.0154	20.031769	1.6704983	0.060810056	1.9165865	1.462318	1.0231376	0.0314719	1.1248578	0.9597924	5907.129330158234
63	2564.0046	257.06537	2884.6687	2171.8433	1572.2869	550.5377	2213.162	655.4246	1000.0	1000.0	251999	140.77011	140.76976	-139.66803	20.194988	1.6693484	0.061634935	1.8998578	1.4332491	1.0168328	0.04101065	1.1163337	0.9309718	6003.041346549988
64	2659.892	100.61705	2814.4863	2535.3828	2877.523	334.4217	3413.9949	2349.7676	1000.0	1000.0	255999	144.03004	144.02985	-142.89462	21.10872	1.6702853	0.06059146	1.8759247	1.4576273	1.050907	0.0329095	1.1450771	0.9693432	6098.796540975571
65	2579.0884	318.2226	2815.3838	2034.9103	2899.6309	265.97882	3134.0146	2233.9272	1000.0	1000.0	259999	147.30656	147.30598	-146.14429	21.144379	1.6711411	0.06283167	1.8884757	1.4376161	1.0941159	0.053469434	1.2185742	0.9748181	6194.586766958237
66	2559.2178	378.9184	2910.6416	1951.3853	2511.7925	557.47504	3042.9783	1034.7389	1000.0	1000.0	263999	151.75249	151.7526	-150.65479	21.503084	1.6683413	0.060102075	1.8524067	1.464496	1.0756377	0.03239394	1.1678703	1.0117074	6289.931935787201
67	2784.535	430.2946	3501.6658	2403.036	3145.1843	222.94524	3583.472	2722.3318	1000.0	1000.0	267999	155.21082	155.21078	-154.09416	22.495955	1.6723917	0.0645752	1.898595	1.4571365	1.1032168	0.04370016	1.2473732	1.0100489	6385.80818104744
68	2872.1436	292.76355	3280.2063	2495.6355	2601.785	86.51661	2774.5828	2481.025	1000.0	1000.0	271999	159.44061	159.44006	-158.30472	22.39588	1.66933	0.061986025	1.8891073	1.4632661	1.1245832	0.03705417	1.2344288	1.0506772	6481.296649456024
69	2982.1538	73.130844	3098.6438	2905.294	2644.3608	121.993355	2812.4956	2359.3552	1000.0	1000.0	275999	163.56815	163.56804	-162.46005	22.004902	1.6683152	0.061070453	1.8644618	1.450542	1.1194385	0.03489875	1.2140176	1.00706	6576.997876882553
70	3068.6711	99.31965	3177.013	2908.486	3168.0444	250.45236	3480.322	2605.5461	1000.0	1000.0	279999	167.27888	167.27917	-166.1631	22.263046	1.6712332	0.06564632	1.9108866	1.3756828	1.0932449	0.039628994	1.2018107	1.0092313	6672.718979358673
71	2800.1846	434.8324	3162.137	2074.7327	2371.263	272.68243	2705.462	1803.4803	1000.0	1000.0	283999	170.60236	170.60123	-169.42123	23.039053	1.6720486	0.06401034	1.9031951	1.4703349	1.1274277	0.04806226	1.2483766	1.0021175	6767.833332777023
72	2961.618	247.6456	3335.5293	2659.8752	3321.295	85.991425	3445.5251	3187.154	1000.0	1000.0	287999	173.52708	173.52689	-172.256	23.877426	1.6689693	0.06375843	1.8792638	1.4762051	1.1817287	0.044187117	1.2935188	1.0840235	6861.952352285385
73	3158.3706	212.88306	3377.4053	2842.0095	3387.121	113.37991	3534.5686	3238.4038	1000.0	1000.0	291999	176.97343	176.97285	-175.70091	24.500433	1.6698779	0.059562173	1.911771	1.4713414	1.1972882	0.036887564	1.2800938	1.1179653	6956.939960718155
74	2726.3438	343.20416	3098.616	2190.0784	3597.0266	78.4734	3676.3992	3391.2847	1000.0	1000.0	295999	180.19405	180.19347	-178.94048	25.274786	1.6705301	0.058966763	1.8906571	1.4616683	1.1915841	0.03963037	1.2824696	1.0925285	7053.388113260269
75	3329.3745	191.99832	3493.8608	3007.7302	3566.44	35.449226	3625.903	3523.777	1000.0	1000.0	299999	182.71916	182.71872	-181.4236	25.383278	1.6706045	0.06344222	1.8751514	1.4620248	1.197722	0.043767262	1.308596	1.0971105	7149.4887590408325
76	2995.9377	278.17615	3439.8567	2693.5352	2818.3572	738.2221	3526.2568	1418.5343	1000.0	1000.0	303999	185.49773	185.49654	-184.15366	26.281443	1.6689432	0.063211374	1.9076072	1.4821162	1.22677	0.046942487	1.3282285	1.1173369	7244.785700082779
77	3149.9875	397.45105	3520.87	2506.837	3089.0757	351.08508	3559.6528	2411.0955	1000.0	1000.0	307999	188.06049	188.05974	-186.79327	26.323421	1.6686021	0.063834324	1.9229009	1.4624678	1.179782	0.048345525	1.3058177	1.0536606	7341.0079135894775
78	2911.745	139.11513	3061.4573	2703.9836	2493.2393	810.3911	3386.651	813.25464	1000.0	1000.0	311999	190.3664	190.36568	-189.08751	26.870504	1.6715425	0.063282095	1.9081337	1.4586735	1.1818699	0.044310484	1.2950066	1.0823276	7436.565504789352
79	3086.0469	285.4833	3530.32	2751.034	2829.988	369.73865	3439.4873	2237.0024	1000.0	1000.0	315999	193.1936	193.1929	-191.90585	27.760992	1.6701733	0.060558822	1.9067694	1.439031	1.2060262	0.036951944	1.2885461	1.1327362	7532.548090934753
80	3087.3162	268.9228	3292.2495	2629.008	2493.501	565.3481	3114.151	1165.2094	1000.0	1000.0	319999	195.40518	195.40475	-194.10706	27.79302	1.6703585	0.061669897	1.8710423	1.4218955	1.2071747	0.0382519	1.2877898	1.1120492	7628.204301834106
81	3466.9883	391.0017	4093.459	3099.8638	2825.729	177.92763	3062.8262	2515.9243	1000.0	1000.0	323999	198.3616	198.3609	-197.04753	28.186546	1.6690378	0.061254244	1.8845316	1.4742538	1.2272106	0.049363825	1.3336941	1.1195928	7723.612575054169
82	3266.7021	282.67117	3702.7327	2924.115	3290.1191	340.6665	3705.573	2780.482	1000.0	1000.0	327999	200.60284	200.60214	-199.24582	27.954292	1.6707437	0.06167664	1.8901229	1.4559736	1.2296909	0.055031594	1.3831215	1.1048279	7819.182225704193
83	3050.7502	309.0228	3336.2847	2585.1355	3064.5095	377.7245	3492.3276	2128.5654	1000.0	1000.0	331999	202.44357	202.44296	-201.13782	27.837696	1.6706313	0.060198635	1.9121264	1.479474	1.204906	0.04059136	1.2936332	1.1065302	7914.455008506775
